Title,Permalink
"Pennsylvania | National Coalition on Health Care",https://nchc.org/state-reform/pennsylvania/
"Organizations Working on Health Reform in California | National Coalition on Health Care",https://nchc.org/state-reform/organizational-resources-california/
"National Journal Blog - Health Insurers' 11th-Hour Outburst",https://nchc.org/blog/national-journal-blog-health-insurers-11th-hour-outburst/
"Oregon | National Coalition on Health Care",https://nchc.org/state-reform/oregon/
"Oklahoma | National Coalition on Health Care",https://nchc.org/state-reform/oklahoma/
"Containing Costs and Avoiding Tax Increases While Improving<br>Quality: Affordable Coverage and High Value Care",https://nchc.org/blog/nchc-white-paper/
"Ohio | National Coalition on Health Care",https://nchc.org/state-reform/ohio/
"North Dakota | National Coalition on Health Care",https://nchc.org/state-reform/north-dakota/
"North Carolina | National Coalition on Health Care",https://nchc.org/state-reform/north-carolina/
"New York | National Coalition on Health Care",https://nchc.org/state-reform/new-york/
"New Mexico | National Coalition on Health Care",https://nchc.org/state-reform/new-mexico/
"New Jersey | National Coalition on Health Care",https://nchc.org/state-reform/new-jersey/
"New Hampshire | National Coalition on Health Care",https://nchc.org/state-reform/new-hampshire-new-hampshire-new-hampshire-new-hampshire-new-hampshire/
"Nevada | National Coalition on Health Care",https://nchc.org/state-reform/nevada/
"Nebraska | National Coalition on Health Care",https://nchc.org/state-reform/nebraska/
"Montana | National Coalition on Health Care",https://nchc.org/state-reform/montana/
"Missouri | National Coalition on Health Care",https://nchc.org/state-reform/missouri/
"Mississippi | National Coalition on Health Care",https://nchc.org/state-reform/mississippi/
"Minnesota | National Coalition on Health Care",https://nchc.org/state-reform/minnesota/
"Michigan | National Coalition on Health Care",https://nchc.org/state-reform/michigan/
"Massachusetts | National Coalition on Health Care",https://nchc.org/state-reform/massachusetts/
"Maryland | National Coalition on Health Care",https://nchc.org/state-reform/maryland/
"Maine | National Coalition on Health Care",https://nchc.org/state-reform/maine/
"Louisiana | National Coalition on Health Care",https://nchc.org/state-reform/louisiana/
"Kentucky | National Coalition on Health Care",https://nchc.org/state-reform/kentucky/
"Kansas | National Coalition on Health Care",https://nchc.org/state-reform/kansas/
"Iowa | National Coalition on Health Care",https://nchc.org/state-reform/iowa/
"Indiana | National Coalition on Health Care",https://nchc.org/state-reform/indiana/
"Illinois | National Coalition on Health Care",https://nchc.org/state-reform/illinois/
"Idaho | National Coalition on Health Care",https://nchc.org/state-reform/idaho/
"Health Reform Implementation Tools | National Coalition on Health Care",https://nchc.org/state-reform/health-reform-implementation-tools/
"Health Reform 101 | National Coalition on Health Care",https://nchc.org/state-reform/health-reform-101/
"Hawaii | National Coalition on Health Care",https://nchc.org/state-reform/hawaii/
"Georgia | National Coalition on Health Care",https://nchc.org/state-reform/georgia/
"Delaware | National Coalition on Health Care",https://nchc.org/state-reform/delaware/
"Florida | National Coalition on Health Care",https://nchc.org/state-reform/florida/
"Connecticut | National Coalition on Health Care",https://nchc.org/state-reform/connecticut/
"Colorado | National Coalition on Health Care",https://nchc.org/state-reform/colorado/
"The California State Profile | National Coalition on Health Care",https://nchc.org/state-reform/california-state-profile/
"California | National Coalition on Health Care",https://nchc.org/state-reform/california-national-coalition-on-health-care-2/
"Arkansas | National Coalition on Health Care",https://nchc.org/state-reform/arkansas/
"Arizona | National Coalition on Health Care",https://nchc.org/state-reform/arizona/
"Alaska | National Coalition on Health Care",https://nchc.org/state-reform/alaska/
"Alabama | National Coalition on Health Care",https://nchc.org/state-reform/alabama/
"Acknowledgement and Introduction | National Coalition on Health Care",https://nchc.org/state-reform/acknowledgement-and-introduction/
"VALINDA RUTLEDGE",https://nchc.org/staff-members/valinda-rutledge/
"SUSAN TURNEY",https://nchc.org/staff-members/susan-turney/
"PETER BEGANS",https://nchc.org/staff-members/peter-begans/
"MICHAEL MACCOBY",https://nchc.org/staff-members/michael-maccoby/
"MELISSA SCHULMAN",https://nchc.org/staff-members/melissa-schulman/
"MARGARET E. O’KANE",https://nchc.org/staff-members/margaret-e-okane/
"KEVIN DONNELLAN",https://nchc.org/staff-members/kevin-donnellan/
"JACK LEWIN",https://nchc.org/staff-members/jack-lewin-2/
"THE HONORABLE DAVID DURENBERGER",https://nchc.org/staff-members/1065/
"DON CRANE",https://nchc.org/staff-members/don-crane/
"DONALD MOULDS",https://nchc.org/staff-members/donald-moulds/
"DAVID DOBBINS",https://nchc.org/staff-members/david-dobbins/
"DAMON A. SILVERS",https://nchc.org/staff-members/damon-a-silvers/
"CHRISTINE SIMMON",https://nchc.org/staff-members/christine-simmon/
"CHRIS DAWE",https://nchc.org/staff-members/chris-dawe/
"BLAIR CHILDS",https://nchc.org/staff-members/blair-childs/
"ADRIENNE MORRELL",https://nchc.org/staff-members/adrienne-morrell-2/
AARP,https://nchc.org/coalition-members/aarp/
"Adrian Dominican Sisters",https://nchc.org/coalition-members/adrian-dominican-sisters/
AFL-CIO,https://nchc.org/coalition-members/afl-cio/
"American Academy of Family Physicians",https://nchc.org/coalition-members/american-academy-family-physicians/
"American Academy of Pediatrics",https://nchc.org/coalition-members/american-academy-pediatrics/
"American Cancer Society",https://nchc.org/coalition-members/american-cancer-society/
"American College of Cardiology",https://nchc.org/coalition-members/american-college-cardiology/
"American College of Emergency Physicians",https://nchc.org/coalition-members/american-college-emergency-physicians/
"American College of Nurse-Midwives",https://nchc.org/coalition-members/american-college-nurse-midwives/
"American College of Surgeons",https://nchc.org/coalition-members/american-college-surgeons/
"American Dental Education Association",https://nchc.org/coalition-members/american-dental-education-association/
"American Federation of State, County, and Municipal Employees (AFSCME)",https://nchc.org/coalition-members/american-federation-state-county-and-municipal-employees-afscme/
"American Federation of Teachers",https://nchc.org/coalition-members/american-federation-teachers/
"American Federation of Television and Radio Artists",https://nchc.org/coalition-members/american-federation-television-and-radio-artists/
"American Heart Association",https://nchc.org/coalition-members/american-heart-association/
"American Legacy Foundation",https://nchc.org/coalition-members/american-legacy-foundation/
"American Library Association",https://nchc.org/coalition-members/american-library-association/
"American Lung Association",https://nchc.org/coalition-members/american-lung-association/
"Asian Pacific Islander American Health Forum",https://nchc.org/coalition-members/asian-pacific-islander-american-health-forum/
"Association of American Medical Colleges and Teaching Hospitals",https://nchc.org/coalition-members/association-american-medical-colleges-and-teaching-hospitals/
"Association of American Universities",https://nchc.org/coalition-members/association-american-universities/
"California Public Employees' Retirement Systems (CalPERS)",https://nchc.org/coalition-members/california-public-employees-retirement-systems-calpers/
"California State Teachers' Retirement System (CalSTRS)",https://nchc.org/coalition-members/california-state-teachers-retirement-system-calstrs/
C-Change,https://nchc.org/coalition-members/c-change/
"Childbirth Connection",https://nchc.org/coalition-members/childbirth-connection/
"Children's Defense Fund",https://nchc.org/coalition-members/childrens-defense-fund/
CodeBlueNow!,https://nchc.org/coalition-members/codebluenow/
"Colorado Public Employee Retirement Association",https://nchc.org/coalition-members/colorado-public-employee-retirement-association/
"Common Cause",https://nchc.org/coalition-members/common-cause/
"Communication Workers of America (Partnership for Health Care Reform)",https://nchc.org/coalition-members/communication-workers-america-partnership-health-care-reform/
"Consortium for Citizens with Disabilities",https://nchc.org/coalition-members/consortium-citizens-disabilities/
"Consumers Union",https://nchc.org/coalition-members/consumers-union/
"Duke Energy Corporation",https://nchc.org/coalition-members/duke-energy-corporation/
"Duke University Medical Center",https://nchc.org/coalition-members/duke-university-medical-center/
"Easter Seals",https://nchc.org/coalition-members/easter-seals/
"The Episcopal Church",https://nchc.org/coalition-members/episcopal-church/
"Evangelical Lutheran Church in America",https://nchc.org/coalition-members/evangelical-lutheran-church-america/
"Giant Food, Inc.",https://nchc.org/coalition-members/giant-food-inc/
"Gross Electric, Inc.",https://nchc.org/coalition-members/gross-electric-inc/
"Illinois Municipal Retirement Fund",https://nchc.org/coalition-members/illinois-municipal-retirement-fund/
"International Brotherhood of Electrical Workers (IBEW)",https://nchc.org/coalition-members/international-brotherhood-electrical-workers-ibew/
"International Brotherhood of Teamsters",https://nchc.org/coalition-members/international-brotherhood-teamsters/
"International Federation of Professional and Technical Engineers (IFPTE)",https://nchc.org/coalition-members/international-federation-professional-and-technical-engineers-ifpte/
"International Foundation for Employee Benefit Plans",https://nchc.org/coalition-members/international-foundation-employee-benefit-plans/
"Japanese American Citizens League",https://nchc.org/coalition-members/japanese-american-citizens-league/
"League of Women Voters",https://nchc.org/coalition-members/league-women-voters/
"Michigan Health &amp; Hospital Association",https://nchc.org/coalition-members/michigan-health-hospital-association/
"Midwest Business Group on Health",https://nchc.org/coalition-members/midwest-business-group-health/
"Motion Picture Association of America",https://nchc.org/coalition-members/motion-picture-association-america/
"National Association for the Advancement of Colored People (NAACP)",https://nchc.org/coalition-members/national-association-advancement-colored-people-naacp/
"National Association of Community Health Centers",https://nchc.org/coalition-members/national-association-community-health-centers/
"National Community Action Foundation",https://nchc.org/coalition-members/national-community-action-foundation/
"National Conference on Public Employee Retirement Systems",https://nchc.org/coalition-members/national-conference-public-employee-retirement-systems/
"National Consumers League",https://nchc.org/coalition-members/national-consumers-league/
"National Coordinating Committee for Multi-Employer Plans",https://nchc.org/coalition-members/national-coordinating-committee-multi-employer-plans/
"National Council of Churches of Christ in the U.S.A.",https://nchc.org/coalition-members/national-council-churches-christ-usa/
"National Council on Teacher Retirement",https://nchc.org/coalition-members/national-council-teacher-retirement/
"National Multiple Sclerosis Society",https://nchc.org/coalition-members/national-multiple-sclerosis-society/
"National Rural Health Association",https://nchc.org/coalition-members/national-rural-health-association/
"National Council of La Raza",https://nchc.org/coalition-members/nclr/
"New York State Teachers' Retirement Systems",https://nchc.org/coalition-members/new-york-state-teachers-retirement-systems/
"Presbyterian Church, U.S.A.",https://nchc.org/coalition-members/presbyterian-church-usa/
"Religious Action Center of Reform Judaism",https://nchc.org/coalition-members/religious-action-center-reform-judaism/
"The Salvation Army",https://nchc.org/coalition-members/salvation-army/
"Sheet Metal Workers' International Association",https://nchc.org/coalition-members/sheet-metal-workers-international-association/
"Small Business Majority",https://nchc.org/coalition-members/small-business-majority/
"Why The Quality of U.S. Health Care Must Be Improved",https://nchc.org/1998policystudies/why-the-quality-of-u-s-health-care-must-be-improved-2/
"Stop and Shop, Inc.",https://nchc.org/coalition-members/stop-and-shop-inc/
"Teva Pharmaceuticals, Ltd",https://nchc.org/coalition-members/teva-pharmaceuticals-ltd/
"Union for Reform Judaism",https://nchc.org/coalition-members/union-reform-judaism/
"United Food &amp; Commercial Workers",https://nchc.org/coalition-members/united-food-commercial-workers/
"United Methodist Church",https://nchc.org/coalition-members/coalition-members-united-methodist-church/
"U.S. PIRG",https://nchc.org/coalition-members/us-pirg/
"Verizon (Partnership for Health Care Reform)",https://nchc.org/coalition-members/verizon-partnership-health-care-reform/
"American Academy of Pediatrics Rallies Support for ACA and Universal Coverage",https://nchc.org/content/american-academy-pediatrics-rallies-support-aca-and-universal-coverage/
"Application for Paul G. Rogers Scholars Program",https://nchc.org/content/application-paul-g-rogers-scholars-program/
"Are Non-Profit Hospital Tax Exemptions Unfair to Taxpayers?",https://nchc.org/content/are-non-profit-hospital-tax-exemptions-unfair-taxpayers/
"Become a Member",https://nchc.org/content/become-member/
"Building a Better Health Care Market",https://nchc.org/content/building-better-health-care-market/
"Community Catalyst Supports State Health Advocates in Effective and Consumer-Focused Implementation of the ACA",https://nchc.org/content/community-catalyst-supports-state-health-advocates-effective-and-consumer-focused-implementa/
"Consumers Save on Health Insurance Premiums",https://nchc.org/content/consumers-save-health-insurance-premiums/
"The Cost-Containment Problem With Dual-Eligibles",https://nchc.org/content/cost-containment-problem-dual-eligibles/
"Debating the Impact of Health Plan Profits",https://nchc.org/content/debating-impact-health-plan-profits/
"Effective State Exchanges Key to Lower Health Costs for Consumers",https://nchc.org/content/effective-state-exchanges-key-lower-health-costs-consumers-0/
"FDA Targets Online Stores for Illegal Marketing of Tobacco Products",https://nchc.org/content/fda-targets-online-stores-illegal-marketing-tobacco-products/
"Health Care Consumes Record 17.6% of US Economy",https://nchc.org/content/health-care-consumes-record-176-us-economy/
"Health Care Cost Control Must Be System-Wide",https://nchc.org/content/health-care-cost-control-must-be-system-wide/
"Health Care Costs: The Role of Price by Paul Ginsburg",https://nchc.org/content/health-care-costs-role-price-paul-ginsburg/
"Health Care ""Failsafe"" Would Save $2 Trillion",https://nchc.org/content/health-care-failsafe-would-save-2-trillion/
"Health IT Can Help Health Care Reform",https://nchc.org/content/health-it-can-help-health-care-reform/
"HHS Gives Meaning to ""Meaningful Use""",https://nchc.org/content/hhs-gives-meaning-meaningful-use/
"Hospice Shown to Save Costs, Reduce Emotional Distress for Terminally Ill",https://nchc.org/content/hospice-shown-save-costs-reduce-emotional-distress-terminally-ill/
"How Sustainable is the Medicaid Program for States?",https://nchc.org/content/how-sustainable-medicaid-program-states/
"Massachusetts OKs Controversial Insurance Rate Increases",https://nchc.org/content/massachusetts-oks-controversial-insurance-rate-increases/
"Medicaid Coverage Doesn’t Guarantee Access",https://nchc.org/content/medicaid-coverage-doesn-t-guarantee-access/
"Members and Leaders of Faith Community Urge Congress and Administration to Move Reform Forward",https://nchc.org/content/members-and-leaders-faith-community-urge-congress-and-administration-move-reform-forward/
"More Resources From Other Organizations",https://nchc.org/content/more-resources-other-organizations/
"National Association of Community Health Centers: CHCs ""Will Continue to Grow and Reach Out to More People""",https://nchc.org/content/national-association-community-health-centers-chcs-will-continue-grow-and-reach-out-more-peo/
"New Report on Understanding U.S. Health Care Spending",https://nchc.org/content/new-report-understanding-us-health-care-spending-0/
"NPA Identifies Most Common Unnecessary Medical Services",https://nchc.org/content/npa-identifies-most-common-unnecessary-medical-services/
"Paul G. Rogers Memorial Scholars Program",https://nchc.org/content/paul-g-rogers-memorial-scholars-program/
"Projected 8.5 Percent Increase in Employer Healthcare Costs in 2012",https://nchc.org/content/projected-85-percent-increase-employer-healthcare-costs-2012/
"Public Health Advocacy Organization Opposes Health Spending Cuts",https://nchc.org/content/public-health-advocacy-organization-opposes-health-spending-cuts/
"Repeal, A Critical Step Backward on Cost Control",https://nchc.org/content/repeal-critical-step-backward-cost-control/
"Report Details Health Care Sector Profit Margins",https://nchc.org/content/report-details-health-care-sector-profit-margins/
"In Response to Public Outcry, Company Lowers Cost Increase",https://nchc.org/content/response-public-outcry-company-lowers-cost-increase/
"SBM: Health Insurance Helps Boost the Bottom Line of Small Businesses",https://nchc.org/content/sbm-health-insurance-helps-boost-bottom-line-small-businesses/
"Smoking and Obesity Dramatically Reduce Americans’ Life Expectancy",https://nchc.org/content/smoking-and-obesity-dramatically-reduce-americans-life-expectancy/
"Study reveals potential consequences of unregulated provider rate negotiations",https://nchc.org/content/study-reveals-potential-consequences-unregulated-provider-rate-negotiations/
"Working Class Americans Benefiting from the ACA",https://nchc.org/content/working-class-americans-benefiting-aca/
"A REALITY CHECK: THE PUBLIC'S CHANGING VIEWS OF OUR HEALTH CARE SYSTEM",https://nchc.org/emerge/check0498/
"A Reality Check: The Public's Changing View's of our Health Care System",https://nchc.org/emerge/exec0498/
"<strong>Key Findings on the Public's Changing Views of our Health Care System</strong>",https://nchc.org/emerge/key0498/
"Key Findings on Quality of Care in the United States",https://nchc.org/emerge/keyquality/
"<strong>Rethinking the Medicare Eligibility Age</strong><br><strong>Medicare Series Report #1</strong>",https://nchc.org/emerge/medicare0698/
"The Role of Medical Savings Accounts in Health System Reform",https://nchc.org/emerge/the-role-of-medical-savings-accounts-in-health-system-reform-2/
"Why The Quality of U.S. Health Care Must Be Improved",https://nchc.org/emerge/why-the-quality-of-u-s-health-care-must-be-improved-3/
"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",https://nchc.org/releases/press012600/
"Tax Breaks Can Reduce the Number of Uninsured, But Not by Much Unless the Subsidy is Quite Large, Study Finds",https://nchc.org/releases/taxbreaks/
"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",https://nchc.org/emerge/the-rising-number-of-uninsured-workers-an-approaching-crisis-in-health-care-financing-2/
"Small Business Health Insurance Co-ops Won't Solve the Nation's Uninsured Problem",https://nchc.org/releases/stevepress/
"Déjà Vu All Over Again: Rising Health Insurance Premiums And Implications For The Public And Private Sector",https://nchc.org/releases/simmons_5_5_2000/
"<strong>Small Employer Health Insurance Purchasing Arrangements:<br>Can They Expand Coverage?</strong>",https://nchc.org/releases/stevesedit/
"<strong><em>1 MILLION MORE AMERICANS UNINSURED, ACCORDING TO U.S. CENSUS BUREAU</em></strong>",https://nchc.org/releases/uninsured-2/
"<strong><em>Why Health Care Quality Must be Improved and Why Health System Reform Must Occur</em></strong>",https://nchc.org/releases/simmons_3_31_2001/
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/addington_1-26-00/
"Coalition Praises Families USA Study; Calls for Congress and the States to Act Quickly",https://nchc.org/releases/presscontacts/
"N E W S R E L E A S E",https://nchc.org/releases/press012397/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-2/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-3/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-4/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-5/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-6/
"Chicago Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/chicago-health-care-summit/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-7/
"A D V E R T I S M E N T",https://nchc.org/releases/press022997/
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-2/
"Innovations in Maternity Care",https://nchc.org/event/innovations-maternity-care/
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-3/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-8/
"Medicaid Per Capita Allotments: Exploring Implications for Medicare Beneficiaries",https://nchc.org/event/medicaid-per-capita-allotments/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-9/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-10/
"New York Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/new-york-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage/
"N E W S R E L E A S E",https://nchc.org/uncategorized/n-e-w-s-r-e-l-e-a-s-e-11/
"Philadelphia Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/philadelphia-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-12/
"Health Insurance Premiums",https://nchc.org/releases/health-insurance-premiums/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-13/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-14/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-15/
"Prevention Across the Lifespan",https://nchc.org/event/prevention-across-the-lifespan/
"Primary Care: High-Value Care for Underserved Communities",https://nchc.org/event/primary-care/
"Medical Errors Report",https://nchc.org/releases/press022200/
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-4/
"2017 Medicare Premium Spike",https://nchc.org/events/2017-medicare-premium-spike/
"<strong><em>Medicare Reform Must Include Incentives</em></strong><br><strong><em>to Improve Quality of Care</em></strong>",https://nchc.org/releases/press021899/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-16/
"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",https://nchc.org/releases/president-carter-leaders-call-for-bi-partisan-action-to-achieve-universal-health-insurance-coverage-2/
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-17/
"Statement on President Clinton's Long Term Care Tax Credit Proposal",https://nchc.org/releases/press010899/
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-2/
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-3/
"<strong><em>Health Care Spending Rising Fastest in the U.S.</em></strong>",https://nchc.org/releases/oecd/
"Statement on Emerging Health Care Proposals From President Clinton and Congressional Republicans",https://nchc.org/releases/newpress/
"MAJOR GROUPS JOIN THE NATIONAL COALITION ON HEALTH CARE SIGNALING GROWING SUPPORT FOR REFORM",https://nchc.org/releases/new_member_release_11-8-99/
"After the SGR: Building a Transformed Payment and Delivery System",https://nchc.org/events/after-the-sgr-building-a-transformed-payment-and-delivery-system/
"Alternative Payment Methods: Achieving the Next Level of Performance",https://nchc.org/events/alternative-payment-methods-achieving-the-next-level-of-performance/
"A Prescription for Savings: Medication Management and Improved Adherence",https://nchc.org/events/a-prescription-for-savings-medication-management-and-improved-adherence/
"Bending the Health Care Cost Curve: The Role of Investments in Prevention",https://nchc.org/events/bending-the-health-care-cost-curve-the-role-of-investments-in-prevention/
"Competition and Prescription Drug Costs: What’s Ahead in 2017",https://nchc.org/events/competition-and-prescription-drug-costs-whats-ahead-in-2017/
"Is Arbitration a Solution to High Drug Prices?",https://nchc.org/events/congressional-briefing-on-binding-arbitration/
"Curbing Costs While Expanding Coverage: Strategies from Massachusetts and California for a Post SCOTUS World",https://nchc.org/events/curbing-costs-while-expanding-coverage-strategies-from-massachusetts-and-california-for-a-post-scotus-world/
"NCHC &amp; West Health Hill Briefing: Drug Pricing Reform: The Costs of Inaction",https://nchc.org/events/drug-pricing-reform-the-costs-of-inaction/
"Episodic Bundled Payment: A Critical Next Step in Health Care Payment Reform",https://nchc.org/events/episodic-bundled-payment-a-critical-next-step-in-health-care-payment-reform/
"Freshman Member Briefing on Medicaid Fundamentals",https://nchc.org/events/freshman-briefing-on-medicaid-fundamentals/
"Freshman Member Briefing on the Affordable Care Act",https://nchc.org/events/freshman-member-briefing-on-the-affordable-care-act/
"Health Care Quality and Efficiency: The Role of Consumer Engagement and Improved Diagnostic and Therapeutic Accuracy",https://nchc.org/events/health-care-quality-and-efficiency-the-role-of-consumer-engagement-and-improved-diagnostic-and-therapeutic-accuracy/
"<strong><em>Medicare Vouchers Could Save MoneyBut Must Be Designed Carefully To Avoid Hurting The Elderly</em></strong>",https://nchc.org/releases/medicare/
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-4/
"Health Policy After the SGR: What’s Possible in Value-Based Payment and Benefits?",https://nchc.org/events/health-policy-after-the-sgr-whats-possible-in-value-based-payment-and-benefits/
"Reducing Medical Errors",https://nchc.org/releases/medical_release_2-22/
