Title,Date,Permalink,"WPML Language Code",Categories,Tags
"The Role of Medical Savings Accounts in Health System Reform",2023-05-20,https://nchc.org/1998policystudies/medicare2-0698/,en,1998PolicyStudies,
"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",2023-05-20,https://nchc.org/1998policystudies/uninsured/,en,1998PolicyStudies,
"1999 Policy Studies",2023-05-20,https://nchc.org/1999policystudies/1999policystudies/,en,1999PolicyStudies,
"Down A Dangerous Path: The Erosion of Health Insurance Coverage in the United States",2023-05-20,https://nchc.org/1999policystudies/downadangerouspath/,en,1999PolicyStudies,
"Health Insurance and Taxes: The Impact of Proposed Changes in Current Federal Policy",2023-05-20,https://nchc.org/1999policystudies/healthandtaxes/,en,1999PolicyStudies,
"Quality Health Care: New Challenges as Medicare Evolves",2023-05-20,https://nchc.org/1999policystudies/qualityhealthcare_medicare/,en,1999PolicyStudies,
"Small Employer Health Insurance Purchasing Arrangements: Can They Expand Coverage?",2023-05-20,https://nchc.org/1999policystudies/smallemployerhipurchasingarrangements/,en,1999PolicyStudies,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-list-page-5/,en,allies,
"California | National Coalition on Health Care",2023-05-20,https://nchc.org/states/california-2/,en,states,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-in-action-2/,en,allies,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-in-action-3/,en,allies,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-in-action-4/,en,allies,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-in-action-5/,en,allies,
"Allies in Action",2023-05-20,https://nchc.org/allies/allies-in-action-6/,en,allies,
"Wyoming | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/wyoming/,en,state-reform,
"Wisconsin | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/wisconsin/,en,state-reform,
"West Virginia | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/west-virginia/,en,state-reform,
"Washington | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/washington/,en,state-reform,
"Virginia | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/virginia/,en,state-reform,
"Vermont | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/vermont/,en,state-reform,
"Utah | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/utah/,en,state-reform,
"Building an Affordable and Sustainable Health Care System",2023-05-20,https://nchc.org/blog/building-affordable-and-sustainable-health-care-system/,en,blog,
"Texas | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/texas/,en,state-reform,
"David Walker at Institute of Medicine - Rosenthal Speech",2023-05-20,https://nchc.org/blog/david-walker-institute-medicine-rosenthal-speech/,en,blog,
"Tennessee | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/tennessee/,en,state-reform,
"South Dakota | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/south-dakota/,en,state-reform,
"Failsafe Drafting Options with Additional Examples",2023-05-20,https://nchc.org/blog/failsafe-drafting-options-additional-examples/,en,blog,
"A Failsafe Mechanism for National Healthcare Expenditures",2023-05-20,https://nchc.org/blog/failsafe-mechanism-national-healthcare-expenditures/,en,blog,
"Rhode Island | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/rhode-island/,en,state-reform,
"How to Ensure America Takes Its Medicine",2023-05-20,https://nchc.org/blog/how-ensure-america-takes-its-medicine/,en,blog,
"An Insurance Policy for Health Care Reform",2023-05-20,https://nchc.org/blog/insurance-policy-health-care-reform/,en,blog,
"South Carolina | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/south-carolina/,en,state-reform,
"Justifying System-Wide Cost Containment",2023-05-20,https://nchc.org/blog/justifying-system-wide-cost-containment/,en,blog,
"National Journal Blog - CBO's Latest Score: An $81B Deficit Reduction",2023-05-20,https://nchc.org/blog/national-journal-blog-cbos-latest-score-81b-deficit-reduction/,en,blog,
"Pennsylvania | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/pennsylvania/,en,state-reform,
"Organizations Working on Health Reform in California | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/organizational-resources-california/,en,state-reform,
"National Journal Blog - Health Insurers' 11th-Hour Outburst",2023-05-20,https://nchc.org/blog/national-journal-blog-health-insurers-11th-hour-outburst/,en,blog,
"Oregon | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/oregon/,en,state-reform,
"Oklahoma | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/oklahoma/,en,state-reform,
"Containing Costs and Avoiding Tax Increases While Improving<br>Quality: Affordable Coverage and High Value Care",2023-05-20,https://nchc.org/blog/nchc-white-paper/,en,blog,
"Ohio | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/ohio/,en,state-reform,
"North Dakota | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/north-dakota/,en,state-reform,
"North Carolina | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/north-carolina/,en,state-reform,
"New York | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/new-york/,en,state-reform,
"New Mexico | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/new-mexico/,en,state-reform,
"New Jersey | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/new-jersey/,en,state-reform,
"New Hampshire | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/new-hampshire-new-hampshire-new-hampshire-new-hampshire-new-hampshire/,en,state-reform,
"Nevada | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/nevada/,en,state-reform,
"Nebraska | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/nebraska/,en,state-reform,
"Montana | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/montana/,en,state-reform,
"Missouri | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/missouri/,en,state-reform,
"Mississippi | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/mississippi/,en,state-reform,
"Minnesota | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/minnesota/,en,state-reform,
"Michigan | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/michigan/,en,state-reform,
"Massachusetts | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/massachusetts/,en,state-reform,
"Maryland | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/maryland/,en,state-reform,
"Maine | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/maine/,en,state-reform,
"Louisiana | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/louisiana/,en,state-reform,
"Kentucky | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/kentucky/,en,state-reform,
"Kansas | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/kansas/,en,state-reform,
"Iowa | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/iowa/,en,state-reform,
"Indiana | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/indiana/,en,state-reform,
"Illinois | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/illinois/,en,state-reform,
"Idaho | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/idaho/,en,state-reform,
"Health Reform Implementation Tools | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/health-reform-implementation-tools/,en,state-reform,
"Health Reform 101 | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/health-reform-101/,en,state-reform,
"Hawaii | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/hawaii/,en,state-reform,
"Georgia | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/georgia/,en,state-reform,
"Delaware | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/delaware/,en,state-reform,
"Florida | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/florida/,en,state-reform,
"Connecticut | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/connecticut/,en,state-reform,
"Colorado | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/colorado/,en,state-reform,
"The California State Profile | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/california-state-profile/,en,state-reform,
"California | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/california-national-coalition-on-health-care-2/,en,state-reform,
"Arkansas | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/arkansas/,en,state-reform,
"Arizona | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/arizona/,en,state-reform,
"Alaska | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/alaska/,en,state-reform,
"Alabama | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/alabama/,en,state-reform,
"Acknowledgement and Introduction | National Coalition on Health Care",2023-05-20,https://nchc.org/state-reform/acknowledgement-and-introduction/,en,state-reform,
"VALINDA RUTLEDGE",2023-05-20,https://nchc.org/staff-members/valinda-rutledge/,en,staff-members,
"SUSAN TURNEY",2023-05-20,https://nchc.org/staff-members/susan-turney/,en,staff-members,
"PETER BEGANS",2023-05-20,https://nchc.org/staff-members/peter-begans/,en,staff-members,
"MICHAEL MACCOBY",2023-05-20,https://nchc.org/staff-members/michael-maccoby/,en,staff-members,
"MELISSA SCHULMAN",2023-05-20,https://nchc.org/staff-members/melissa-schulman/,en,staff-members,
"MARGARET E. O’KANE",2023-05-20,https://nchc.org/staff-members/margaret-e-okane/,en,staff-members,
"KEVIN DONNELLAN",2023-05-20,https://nchc.org/staff-members/kevin-donnellan/,en,staff-members,
"JACK LEWIN",2023-05-20,https://nchc.org/staff-members/jack-lewin-2/,en,staff-members,
"THE HONORABLE DAVID DURENBERGER",2023-05-20,https://nchc.org/staff-members/1065/,en,staff-members,
"DON CRANE",2023-05-20,https://nchc.org/staff-members/don-crane/,en,staff-members,
"DONALD MOULDS",2023-05-20,https://nchc.org/staff-members/donald-moulds/,en,staff-members,
"DAVID DOBBINS",2023-05-20,https://nchc.org/staff-members/david-dobbins/,en,staff-members,
"DAMON A. SILVERS",2023-05-20,https://nchc.org/staff-members/damon-a-silvers/,en,staff-members,
"CHRISTINE SIMMON",2023-05-20,https://nchc.org/staff-members/christine-simmon/,en,staff-members,
"CHRIS DAWE",2023-05-20,https://nchc.org/staff-members/chris-dawe/,en,staff-members,
"BLAIR CHILDS",2023-05-20,https://nchc.org/staff-members/blair-childs/,en,staff-members,
"ADRIENNE MORRELL",2023-05-20,https://nchc.org/staff-members/adrienne-morrell-2/,en,staff-members,
AARP,2023-05-20,https://nchc.org/coalition-members/aarp/,en,coalition-members,
"Adrian Dominican Sisters",2023-05-20,https://nchc.org/coalition-members/adrian-dominican-sisters/,en,coalition-members,
AFL-CIO,2023-05-20,https://nchc.org/coalition-members/afl-cio/,en,coalition-members,
"American Academy of Family Physicians",2023-05-20,https://nchc.org/coalition-members/american-academy-family-physicians/,en,coalition-members,
"American Academy of Pediatrics",2023-05-20,https://nchc.org/coalition-members/american-academy-pediatrics/,en,coalition-members,
"American Cancer Society",2023-05-20,https://nchc.org/coalition-members/american-cancer-society/,en,coalition-members,
"American College of Cardiology",2023-05-20,https://nchc.org/coalition-members/american-college-cardiology/,en,coalition-members,
"American College of Emergency Physicians",2023-05-20,https://nchc.org/coalition-members/american-college-emergency-physicians/,en,coalition-members,
"American College of Nurse-Midwives",2023-05-20,https://nchc.org/coalition-members/american-college-nurse-midwives/,en,coalition-members,
"American College of Surgeons",2023-05-20,https://nchc.org/coalition-members/american-college-surgeons/,en,coalition-members,
"American Dental Education Association",2023-05-20,https://nchc.org/coalition-members/american-dental-education-association/,en,coalition-members,
"American Federation of State, County, and Municipal Employees (AFSCME)",2023-05-20,https://nchc.org/coalition-members/american-federation-state-county-and-municipal-employees-afscme/,en,coalition-members,
"American Federation of Teachers",2023-05-20,https://nchc.org/coalition-members/american-federation-teachers/,en,coalition-members,
"American Federation of Television and Radio Artists",2023-05-20,https://nchc.org/coalition-members/american-federation-television-and-radio-artists/,en,coalition-members,
"American Heart Association",2023-05-20,https://nchc.org/coalition-members/american-heart-association/,en,coalition-members,
"American Legacy Foundation",2023-05-20,https://nchc.org/coalition-members/american-legacy-foundation/,en,coalition-members,
"American Library Association",2023-05-20,https://nchc.org/coalition-members/american-library-association/,en,coalition-members,
"American Lung Association",2023-05-20,https://nchc.org/coalition-members/american-lung-association/,en,coalition-members,
"Asian Pacific Islander American Health Forum",2023-05-20,https://nchc.org/coalition-members/asian-pacific-islander-american-health-forum/,en,coalition-members,
"Association of American Medical Colleges and Teaching Hospitals",2023-05-20,https://nchc.org/coalition-members/association-american-medical-colleges-and-teaching-hospitals/,en,coalition-members,
"Association of American Universities",2023-05-20,https://nchc.org/coalition-members/association-american-universities/,en,coalition-members,
"California Public Employees' Retirement Systems (CalPERS)",2023-05-20,https://nchc.org/coalition-members/california-public-employees-retirement-systems-calpers/,en,coalition-members,
"California State Teachers' Retirement System (CalSTRS)",2023-05-20,https://nchc.org/coalition-members/california-state-teachers-retirement-system-calstrs/,en,coalition-members,
C-Change,2023-05-20,https://nchc.org/coalition-members/c-change/,en,coalition-members,
"Childbirth Connection",2023-05-20,https://nchc.org/coalition-members/childbirth-connection/,en,coalition-members,
"Children's Defense Fund",2023-05-20,https://nchc.org/coalition-members/childrens-defense-fund/,en,coalition-members,
CodeBlueNow!,2023-05-20,https://nchc.org/coalition-members/codebluenow/,en,coalition-members,
"Colorado Public Employee Retirement Association",2023-05-20,https://nchc.org/coalition-members/colorado-public-employee-retirement-association/,en,coalition-members,
"Common Cause",2023-05-20,https://nchc.org/coalition-members/common-cause/,en,coalition-members,
"Communication Workers of America (Partnership for Health Care Reform)",2023-05-20,https://nchc.org/coalition-members/communication-workers-america-partnership-health-care-reform/,en,coalition-members,
"Consortium for Citizens with Disabilities",2023-05-20,https://nchc.org/coalition-members/consortium-citizens-disabilities/,en,coalition-members,
"Consumers Union",2023-05-20,https://nchc.org/coalition-members/consumers-union/,en,coalition-members,
"Duke Energy Corporation",2023-05-20,https://nchc.org/coalition-members/duke-energy-corporation/,en,coalition-members,
"Duke University Medical Center",2023-05-20,https://nchc.org/coalition-members/duke-university-medical-center/,en,coalition-members,
"Easter Seals",2023-05-20,https://nchc.org/coalition-members/easter-seals/,en,coalition-members,
"The Episcopal Church",2023-05-20,https://nchc.org/coalition-members/episcopal-church/,en,coalition-members,
"Evangelical Lutheran Church in America",2023-05-20,https://nchc.org/coalition-members/evangelical-lutheran-church-america/,en,coalition-members,
"Giant Food, Inc.",2023-05-20,https://nchc.org/coalition-members/giant-food-inc/,en,coalition-members,
"Gross Electric, Inc.",2023-05-20,https://nchc.org/coalition-members/gross-electric-inc/,en,coalition-members,
"Illinois Municipal Retirement Fund",2023-05-20,https://nchc.org/coalition-members/illinois-municipal-retirement-fund/,en,coalition-members,
"International Brotherhood of Electrical Workers (IBEW)",2023-05-20,https://nchc.org/coalition-members/international-brotherhood-electrical-workers-ibew/,en,coalition-members,
"International Brotherhood of Teamsters",2023-05-20,https://nchc.org/coalition-members/international-brotherhood-teamsters/,en,coalition-members,
"International Federation of Professional and Technical Engineers (IFPTE)",2023-05-20,https://nchc.org/coalition-members/international-federation-professional-and-technical-engineers-ifpte/,en,coalition-members,
"International Foundation for Employee Benefit Plans",2023-05-20,https://nchc.org/coalition-members/international-foundation-employee-benefit-plans/,en,coalition-members,
"Japanese American Citizens League",2023-05-20,https://nchc.org/coalition-members/japanese-american-citizens-league/,en,coalition-members,
"League of Women Voters",2023-05-20,https://nchc.org/coalition-members/league-women-voters/,en,coalition-members,
"Michigan Health &amp; Hospital Association",2023-05-20,https://nchc.org/coalition-members/michigan-health-hospital-association/,en,coalition-members,
"Midwest Business Group on Health",2023-05-20,https://nchc.org/coalition-members/midwest-business-group-health/,en,coalition-members,
"Motion Picture Association of America",2023-05-20,https://nchc.org/coalition-members/motion-picture-association-america/,en,coalition-members,
"National Association for the Advancement of Colored People (NAACP)",2023-05-20,https://nchc.org/coalition-members/national-association-advancement-colored-people-naacp/,en,coalition-members,
"National Association of Community Health Centers",2023-05-20,https://nchc.org/coalition-members/national-association-community-health-centers/,en,coalition-members,
"National Community Action Foundation",2023-05-20,https://nchc.org/coalition-members/national-community-action-foundation/,en,coalition-members,
"National Conference on Public Employee Retirement Systems",2023-05-20,https://nchc.org/coalition-members/national-conference-public-employee-retirement-systems/,en,coalition-members,
"National Consumers League",2023-05-20,https://nchc.org/coalition-members/national-consumers-league/,en,coalition-members,
"National Coordinating Committee for Multi-Employer Plans",2023-05-20,https://nchc.org/coalition-members/national-coordinating-committee-multi-employer-plans/,en,coalition-members,
"National Council of Churches of Christ in the U.S.A.",2023-05-20,https://nchc.org/coalition-members/national-council-churches-christ-usa/,en,coalition-members,
"National Council on Teacher Retirement",2023-05-20,https://nchc.org/coalition-members/national-council-teacher-retirement/,en,coalition-members,
"National Multiple Sclerosis Society",2023-05-20,https://nchc.org/coalition-members/national-multiple-sclerosis-society/,en,coalition-members,
"National Rural Health Association",2023-05-20,https://nchc.org/coalition-members/national-rural-health-association/,en,coalition-members,
"National Council of La Raza",2023-05-20,https://nchc.org/coalition-members/nclr/,en,coalition-members,
"New York State Teachers' Retirement Systems",2023-05-20,https://nchc.org/coalition-members/new-york-state-teachers-retirement-systems/,en,coalition-members,
"Presbyterian Church, U.S.A.",2023-05-20,https://nchc.org/coalition-members/presbyterian-church-usa/,en,coalition-members,
"Religious Action Center of Reform Judaism",2023-05-20,https://nchc.org/coalition-members/religious-action-center-reform-judaism/,en,coalition-members,
"The Salvation Army",2023-05-20,https://nchc.org/coalition-members/salvation-army/,en,coalition-members,
"Sheet Metal Workers' International Association",2023-05-20,https://nchc.org/coalition-members/sheet-metal-workers-international-association/,en,coalition-members,
"Small Business Majority",2023-05-20,https://nchc.org/coalition-members/small-business-majority/,en,coalition-members,
"Why The Quality of U.S. Health Care Must Be Improved",2023-05-20,https://nchc.org/1998policystudies/why-the-quality-of-u-s-health-care-must-be-improved-2/,en,1998PolicyStudies,
"Stop and Shop, Inc.",2023-05-20,https://nchc.org/coalition-members/stop-and-shop-inc/,en,coalition-members,
"Teva Pharmaceuticals, Ltd",2023-05-20,https://nchc.org/coalition-members/teva-pharmaceuticals-ltd/,en,coalition-members,
"Union for Reform Judaism",2023-05-20,https://nchc.org/coalition-members/union-reform-judaism/,en,coalition-members,
"United Food &amp; Commercial Workers",2023-05-20,https://nchc.org/coalition-members/united-food-commercial-workers/,en,coalition-members,
"United Methodist Church",2023-05-20,https://nchc.org/coalition-members/coalition-members-united-methodist-church/,en,coalition-members,
"U.S. PIRG",2023-05-20,https://nchc.org/coalition-members/us-pirg/,en,coalition-members,
"Verizon (Partnership for Health Care Reform)",2023-05-20,https://nchc.org/coalition-members/verizon-partnership-health-care-reform/,en,coalition-members,
"American Academy of Pediatrics Rallies Support for ACA and Universal Coverage",2023-05-20,https://nchc.org/content/american-academy-pediatrics-rallies-support-aca-and-universal-coverage/,en,content,
"Application for Paul G. Rogers Scholars Program",2023-05-20,https://nchc.org/content/application-paul-g-rogers-scholars-program/,en,content,
"Are Non-Profit Hospital Tax Exemptions Unfair to Taxpayers?",2023-05-20,https://nchc.org/content/are-non-profit-hospital-tax-exemptions-unfair-taxpayers/,en,content,
"Become a Member",2023-05-20,https://nchc.org/content/become-member/,en,content,
"Building a Better Health Care Market",2023-05-20,https://nchc.org/content/building-better-health-care-market/,en,content,
"Community Catalyst Supports State Health Advocates in Effective and Consumer-Focused Implementation of the ACA",2023-05-20,https://nchc.org/content/community-catalyst-supports-state-health-advocates-effective-and-consumer-focused-implementa/,en,content,
"Consumers Save on Health Insurance Premiums",2023-05-20,https://nchc.org/content/consumers-save-health-insurance-premiums/,en,content,
"The Cost-Containment Problem With Dual-Eligibles",2023-05-20,https://nchc.org/content/cost-containment-problem-dual-eligibles/,en,content,
"Debating the Impact of Health Plan Profits",2023-05-20,https://nchc.org/content/debating-impact-health-plan-profits/,en,content,
"Effective State Exchanges Key to Lower Health Costs for Consumers",2023-05-20,https://nchc.org/content/effective-state-exchanges-key-lower-health-costs-consumers-0/,en,content,
"FDA Targets Online Stores for Illegal Marketing of Tobacco Products",2023-05-20,https://nchc.org/content/fda-targets-online-stores-illegal-marketing-tobacco-products/,en,content,
"Health Care Consumes Record 17.6% of US Economy",2023-05-20,https://nchc.org/content/health-care-consumes-record-176-us-economy/,en,content,
"Health Care Cost Control Must Be System-Wide",2023-05-20,https://nchc.org/content/health-care-cost-control-must-be-system-wide/,en,content,
"Health Care Costs: The Role of Price by Paul Ginsburg",2023-05-20,https://nchc.org/content/health-care-costs-role-price-paul-ginsburg/,en,content,
"Health Care ""Failsafe"" Would Save $2 Trillion",2023-05-20,https://nchc.org/content/health-care-failsafe-would-save-2-trillion/,en,content,
"Health IT Can Help Health Care Reform",2023-05-20,https://nchc.org/content/health-it-can-help-health-care-reform/,en,content,
"HHS Gives Meaning to ""Meaningful Use""",2023-05-20,https://nchc.org/content/hhs-gives-meaning-meaningful-use/,en,content,
"Hospice Shown to Save Costs, Reduce Emotional Distress for Terminally Ill",2023-05-20,https://nchc.org/content/hospice-shown-save-costs-reduce-emotional-distress-terminally-ill/,en,content,
"How Sustainable is the Medicaid Program for States?",2023-05-20,https://nchc.org/content/how-sustainable-medicaid-program-states/,en,content,
"Massachusetts OKs Controversial Insurance Rate Increases",2023-05-20,https://nchc.org/content/massachusetts-oks-controversial-insurance-rate-increases/,en,content,
"Medicaid Coverage Doesn’t Guarantee Access",2023-05-20,https://nchc.org/content/medicaid-coverage-doesn-t-guarantee-access/,en,content,
"Members and Leaders of Faith Community Urge Congress and Administration to Move Reform Forward",2023-05-20,https://nchc.org/content/members-and-leaders-faith-community-urge-congress-and-administration-move-reform-forward/,en,content,
"More Resources From Other Organizations",2023-05-20,https://nchc.org/content/more-resources-other-organizations/,en,content,
"National Association of Community Health Centers: CHCs ""Will Continue to Grow and Reach Out to More People""",2023-05-20,https://nchc.org/content/national-association-community-health-centers-chcs-will-continue-grow-and-reach-out-more-peo/,en,content,
"New Report on Understanding U.S. Health Care Spending",2023-05-20,https://nchc.org/content/new-report-understanding-us-health-care-spending-0/,en,content,
"NPA Identifies Most Common Unnecessary Medical Services",2023-05-20,https://nchc.org/content/npa-identifies-most-common-unnecessary-medical-services/,en,content,
"Paul G. Rogers Memorial Scholars Program",2023-05-20,https://nchc.org/content/paul-g-rogers-memorial-scholars-program/,en,content,
"Projected 8.5 Percent Increase in Employer Healthcare Costs in 2012",2023-05-20,https://nchc.org/content/projected-85-percent-increase-employer-healthcare-costs-2012/,en,content,
"Public Health Advocacy Organization Opposes Health Spending Cuts",2023-05-20,https://nchc.org/content/public-health-advocacy-organization-opposes-health-spending-cuts/,en,content,
"Repeal, A Critical Step Backward on Cost Control",2023-05-20,https://nchc.org/content/repeal-critical-step-backward-cost-control/,en,content,
"Report Details Health Care Sector Profit Margins",2023-05-20,https://nchc.org/content/report-details-health-care-sector-profit-margins/,en,content,
"In Response to Public Outcry, Company Lowers Cost Increase",2023-05-20,https://nchc.org/content/response-public-outcry-company-lowers-cost-increase/,en,content,
"SBM: Health Insurance Helps Boost the Bottom Line of Small Businesses",2023-05-20,https://nchc.org/content/sbm-health-insurance-helps-boost-bottom-line-small-businesses/,en,content,
"Smoking and Obesity Dramatically Reduce Americans’ Life Expectancy",2023-05-20,https://nchc.org/content/smoking-and-obesity-dramatically-reduce-americans-life-expectancy/,en,content,
"Study reveals potential consequences of unregulated provider rate negotiations",2023-05-20,https://nchc.org/content/study-reveals-potential-consequences-unregulated-provider-rate-negotiations/,en,content,
"Working Class Americans Benefiting from the ACA",2023-05-20,https://nchc.org/content/working-class-americans-benefiting-aca/,en,content,
"A REALITY CHECK: THE PUBLIC'S CHANGING VIEWS OF OUR HEALTH CARE SYSTEM",2023-05-20,https://nchc.org/emerge/check0498/,en,emerge,
"A Reality Check: The Public's Changing View's of our Health Care System",2023-05-20,https://nchc.org/emerge/exec0498/,en,emerge,
"<strong>Key Findings on the Public's Changing Views of our Health Care System</strong>",2023-05-20,https://nchc.org/emerge/key0498/,en,emerge,
"Key Findings on Quality of Care in the United States",2023-05-20,https://nchc.org/emerge/keyquality/,en,emerge,
"<strong>Rethinking the Medicare Eligibility Age</strong><br><strong>Medicare Series Report #1</strong>",2023-05-20,https://nchc.org/emerge/medicare0698/,en,emerge,
"The Role of Medical Savings Accounts in Health System Reform",2023-05-20,https://nchc.org/emerge/the-role-of-medical-savings-accounts-in-health-system-reform-2/,en,emerge,
"Why The Quality of U.S. Health Care Must Be Improved",2023-05-20,https://nchc.org/emerge/why-the-quality-of-u-s-health-care-must-be-improved-3/,en,emerge,
"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",2023-05-20,https://nchc.org/releases/press012600/,en,releases,
"Tax Breaks Can Reduce the Number of Uninsured, But Not by Much Unless the Subsidy is Quite Large, Study Finds",2023-05-20,https://nchc.org/releases/taxbreaks/,en,releases,
"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",2023-05-20,https://nchc.org/emerge/the-rising-number-of-uninsured-workers-an-approaching-crisis-in-health-care-financing-2/,en,emerge,
