Title,Permalink,"WPML Language Code",Categories
"Wisconsin | National Coalition on Health Care",https://nchc.org/state-reform/wisconsin/,en,state-reform
"West Virginia | National Coalition on Health Care",https://nchc.org/state-reform/west-virginia/,en,state-reform
"Washington | National Coalition on Health Care",https://nchc.org/state-reform/washington/,en,state-reform
"Virginia | National Coalition on Health Care",https://nchc.org/state-reform/virginia/,en,state-reform
"Vermont | National Coalition on Health Care",https://nchc.org/state-reform/vermont/,en,state-reform
"Utah | National Coalition on Health Care",https://nchc.org/state-reform/utah/,en,state-reform
"Building an Affordable and Sustainable Health Care System",https://nchc.org/blog/building-affordable-and-sustainable-health-care-system/,en,blog
"Texas | National Coalition on Health Care",https://nchc.org/state-reform/texas/,en,state-reform
"David Walker at Institute of Medicine - Rosenthal Speech",https://nchc.org/blog/david-walker-institute-medicine-rosenthal-speech/,en,blog
"Tennessee | National Coalition on Health Care",https://nchc.org/state-reform/tennessee/,en,state-reform
"South Dakota | National Coalition on Health Care",https://nchc.org/state-reform/south-dakota/,en,state-reform
"Failsafe Drafting Options with Additional Examples",https://nchc.org/blog/failsafe-drafting-options-additional-examples/,en,blog
"A Failsafe Mechanism for National Healthcare Expenditures",https://nchc.org/blog/failsafe-mechanism-national-healthcare-expenditures/,en,blog
"Rhode Island | National Coalition on Health Care",https://nchc.org/state-reform/rhode-island/,en,state-reform
"How to Ensure America Takes Its Medicine",https://nchc.org/blog/how-ensure-america-takes-its-medicine/,en,blog
"An Insurance Policy for Health Care Reform",https://nchc.org/blog/insurance-policy-health-care-reform/,en,blog
"South Carolina | National Coalition on Health Care",https://nchc.org/state-reform/south-carolina/,en,state-reform
"Justifying System-Wide Cost Containment",https://nchc.org/blog/justifying-system-wide-cost-containment/,en,blog
"National Journal Blog - CBO's Latest Score: An $81B Deficit Reduction",https://nchc.org/blog/national-journal-blog-cbos-latest-score-81b-deficit-reduction/,en,blog
"Pennsylvania | National Coalition on Health Care",https://nchc.org/state-reform/pennsylvania/,en,state-reform
"Organizations Working on Health Reform in California | National Coalition on Health Care",https://nchc.org/state-reform/organizational-resources-california/,en,state-reform
"National Journal Blog - Health Insurers' 11th-Hour Outburst",https://nchc.org/blog/national-journal-blog-health-insurers-11th-hour-outburst/,en,blog
"Oregon | National Coalition on Health Care",https://nchc.org/state-reform/oregon/,en,state-reform
"Oklahoma | National Coalition on Health Care",https://nchc.org/state-reform/oklahoma/,en,state-reform
"Containing Costs and Avoiding Tax Increases While Improving<br>Quality: Affordable Coverage and High Value Care",https://nchc.org/blog/nchc-white-paper/,en,blog
"Ohio | National Coalition on Health Care",https://nchc.org/state-reform/ohio/,en,state-reform
"North Dakota | National Coalition on Health Care",https://nchc.org/state-reform/north-dakota/,en,state-reform
"North Carolina | National Coalition on Health Care",https://nchc.org/state-reform/north-carolina/,en,state-reform
"New York | National Coalition on Health Care",https://nchc.org/state-reform/new-york/,en,state-reform
"New Mexico | National Coalition on Health Care",https://nchc.org/state-reform/new-mexico/,en,state-reform
"New Jersey | National Coalition on Health Care",https://nchc.org/state-reform/new-jersey/,en,state-reform
"New Hampshire | National Coalition on Health Care",https://nchc.org/state-reform/new-hampshire-new-hampshire-new-hampshire-new-hampshire-new-hampshire/,en,state-reform
"Nevada | National Coalition on Health Care",https://nchc.org/state-reform/nevada/,en,state-reform
"Nebraska | National Coalition on Health Care",https://nchc.org/state-reform/nebraska/,en,state-reform
"Montana | National Coalition on Health Care",https://nchc.org/state-reform/montana/,en,state-reform
"Missouri | National Coalition on Health Care",https://nchc.org/state-reform/missouri/,en,state-reform
"Mississippi | National Coalition on Health Care",https://nchc.org/state-reform/mississippi/,en,state-reform
"Minnesota | National Coalition on Health Care",https://nchc.org/state-reform/minnesota/,en,state-reform
"Michigan | National Coalition on Health Care",https://nchc.org/state-reform/michigan/,en,state-reform
"Massachusetts | National Coalition on Health Care",https://nchc.org/state-reform/massachusetts/,en,state-reform
"Maryland | National Coalition on Health Care",https://nchc.org/state-reform/maryland/,en,state-reform
"Maine | National Coalition on Health Care",https://nchc.org/state-reform/maine/,en,state-reform
"Louisiana | National Coalition on Health Care",https://nchc.org/state-reform/louisiana/,en,state-reform
"Kentucky | National Coalition on Health Care",https://nchc.org/state-reform/kentucky/,en,state-reform
"Kansas | National Coalition on Health Care",https://nchc.org/state-reform/kansas/,en,state-reform
"Iowa | National Coalition on Health Care",https://nchc.org/state-reform/iowa/,en,state-reform
"Indiana | National Coalition on Health Care",https://nchc.org/state-reform/indiana/,en,state-reform
"Illinois | National Coalition on Health Care",https://nchc.org/state-reform/illinois/,en,state-reform
"Idaho | National Coalition on Health Care",https://nchc.org/state-reform/idaho/,en,state-reform
"Health Reform Implementation Tools | National Coalition on Health Care",https://nchc.org/state-reform/health-reform-implementation-tools/,en,state-reform
"Health Reform 101 | National Coalition on Health Care",https://nchc.org/state-reform/health-reform-101/,en,state-reform
"Hawaii | National Coalition on Health Care",https://nchc.org/state-reform/hawaii/,en,state-reform
"Georgia | National Coalition on Health Care",https://nchc.org/state-reform/georgia/,en,state-reform
"Delaware | National Coalition on Health Care",https://nchc.org/state-reform/delaware/,en,state-reform
"Florida | National Coalition on Health Care",https://nchc.org/state-reform/florida/,en,state-reform
"Connecticut | National Coalition on Health Care",https://nchc.org/state-reform/connecticut/,en,state-reform
"Colorado | National Coalition on Health Care",https://nchc.org/state-reform/colorado/,en,state-reform
"The California State Profile | National Coalition on Health Care",https://nchc.org/state-reform/california-state-profile/,en,state-reform
"California | National Coalition on Health Care",https://nchc.org/state-reform/california-national-coalition-on-health-care-2/,en,state-reform
"Arkansas | National Coalition on Health Care",https://nchc.org/state-reform/arkansas/,en,state-reform
"Arizona | National Coalition on Health Care",https://nchc.org/state-reform/arizona/,en,state-reform
"Alaska | National Coalition on Health Care",https://nchc.org/state-reform/alaska/,en,state-reform
"Alabama | National Coalition on Health Care",https://nchc.org/state-reform/alabama/,en,state-reform
"Acknowledgement and Introduction | National Coalition on Health Care",https://nchc.org/state-reform/acknowledgement-and-introduction/,en,state-reform
"VALINDA RUTLEDGE",https://nchc.org/staff-members/valinda-rutledge/,en,staff-members
"SUSAN TURNEY",https://nchc.org/staff-members/susan-turney/,en,staff-members
"PETER BEGANS",https://nchc.org/staff-members/peter-begans/,en,staff-members
"MICHAEL MACCOBY",https://nchc.org/staff-members/michael-maccoby/,en,staff-members
"MELISSA SCHULMAN",https://nchc.org/staff-members/melissa-schulman/,en,staff-members
"MARGARET E. O’KANE",https://nchc.org/staff-members/margaret-e-okane/,en,staff-members
"KEVIN DONNELLAN",https://nchc.org/staff-members/kevin-donnellan/,en,staff-members
"JACK LEWIN",https://nchc.org/staff-members/jack-lewin-2/,en,staff-members
"THE HONORABLE DAVID DURENBERGER",https://nchc.org/staff-members/1065/,en,staff-members
"DON CRANE",https://nchc.org/staff-members/don-crane/,en,staff-members
"DONALD MOULDS",https://nchc.org/staff-members/donald-moulds/,en,staff-members
"DAVID DOBBINS",https://nchc.org/staff-members/david-dobbins/,en,staff-members
"DAMON A. SILVERS",https://nchc.org/staff-members/damon-a-silvers/,en,staff-members
"CHRISTINE SIMMON",https://nchc.org/staff-members/christine-simmon/,en,staff-members
"CHRIS DAWE",https://nchc.org/staff-members/chris-dawe/,en,staff-members
"BLAIR CHILDS",https://nchc.org/staff-members/blair-childs/,en,staff-members
"ADRIENNE MORRELL",https://nchc.org/staff-members/adrienne-morrell-2/,en,staff-members
AARP,https://nchc.org/coalition-members/aarp/,en,coalition-members
"Adrian Dominican Sisters",https://nchc.org/coalition-members/adrian-dominican-sisters/,en,coalition-members
AFL-CIO,https://nchc.org/coalition-members/afl-cio/,en,coalition-members
"American Academy of Family Physicians",https://nchc.org/coalition-members/american-academy-family-physicians/,en,coalition-members
"American Academy of Pediatrics",https://nchc.org/coalition-members/american-academy-pediatrics/,en,coalition-members
"American Cancer Society",https://nchc.org/coalition-members/american-cancer-society/,en,coalition-members
"American College of Cardiology",https://nchc.org/coalition-members/american-college-cardiology/,en,coalition-members
"American College of Emergency Physicians",https://nchc.org/coalition-members/american-college-emergency-physicians/,en,coalition-members
"American College of Nurse-Midwives",https://nchc.org/coalition-members/american-college-nurse-midwives/,en,coalition-members
"American College of Surgeons",https://nchc.org/coalition-members/american-college-surgeons/,en,coalition-members
"American Dental Education Association",https://nchc.org/coalition-members/american-dental-education-association/,en,coalition-members
"American Federation of State, County, and Municipal Employees (AFSCME)",https://nchc.org/coalition-members/american-federation-state-county-and-municipal-employees-afscme/,en,coalition-members
"American Federation of Teachers",https://nchc.org/coalition-members/american-federation-teachers/,en,coalition-members
"American Federation of Television and Radio Artists",https://nchc.org/coalition-members/american-federation-television-and-radio-artists/,en,coalition-members
"American Heart Association",https://nchc.org/coalition-members/american-heart-association/,en,coalition-members
"American Legacy Foundation",https://nchc.org/coalition-members/american-legacy-foundation/,en,coalition-members
"American Library Association",https://nchc.org/coalition-members/american-library-association/,en,coalition-members
"American Lung Association",https://nchc.org/coalition-members/american-lung-association/,en,coalition-members
"Asian Pacific Islander American Health Forum",https://nchc.org/coalition-members/asian-pacific-islander-american-health-forum/,en,coalition-members
"Association of American Medical Colleges and Teaching Hospitals",https://nchc.org/coalition-members/association-american-medical-colleges-and-teaching-hospitals/,en,coalition-members
"Association of American Universities",https://nchc.org/coalition-members/association-american-universities/,en,coalition-members
"California Public Employees' Retirement Systems (CalPERS)",https://nchc.org/coalition-members/california-public-employees-retirement-systems-calpers/,en,coalition-members
"California State Teachers' Retirement System (CalSTRS)",https://nchc.org/coalition-members/california-state-teachers-retirement-system-calstrs/,en,coalition-members
C-Change,https://nchc.org/coalition-members/c-change/,en,coalition-members
"Childbirth Connection",https://nchc.org/coalition-members/childbirth-connection/,en,coalition-members
"Children's Defense Fund",https://nchc.org/coalition-members/childrens-defense-fund/,en,coalition-members
CodeBlueNow!,https://nchc.org/coalition-members/codebluenow/,en,coalition-members
"Colorado Public Employee Retirement Association",https://nchc.org/coalition-members/colorado-public-employee-retirement-association/,en,coalition-members
"Common Cause",https://nchc.org/coalition-members/common-cause/,en,coalition-members
"Communication Workers of America (Partnership for Health Care Reform)",https://nchc.org/coalition-members/communication-workers-america-partnership-health-care-reform/,en,coalition-members
"Consortium for Citizens with Disabilities",https://nchc.org/coalition-members/consortium-citizens-disabilities/,en,coalition-members
"Consumers Union",https://nchc.org/coalition-members/consumers-union/,en,coalition-members
"Duke Energy Corporation",https://nchc.org/coalition-members/duke-energy-corporation/,en,coalition-members
"Duke University Medical Center",https://nchc.org/coalition-members/duke-university-medical-center/,en,coalition-members
"Easter Seals",https://nchc.org/coalition-members/easter-seals/,en,coalition-members
"The Episcopal Church",https://nchc.org/coalition-members/episcopal-church/,en,coalition-members
"Evangelical Lutheran Church in America",https://nchc.org/coalition-members/evangelical-lutheran-church-america/,en,coalition-members
"Giant Food, Inc.",https://nchc.org/coalition-members/giant-food-inc/,en,coalition-members
"Gross Electric, Inc.",https://nchc.org/coalition-members/gross-electric-inc/,en,coalition-members
"Illinois Municipal Retirement Fund",https://nchc.org/coalition-members/illinois-municipal-retirement-fund/,en,coalition-members
"International Brotherhood of Electrical Workers (IBEW)",https://nchc.org/coalition-members/international-brotherhood-electrical-workers-ibew/,en,coalition-members
"International Brotherhood of Teamsters",https://nchc.org/coalition-members/international-brotherhood-teamsters/,en,coalition-members
"International Federation of Professional and Technical Engineers (IFPTE)",https://nchc.org/coalition-members/international-federation-professional-and-technical-engineers-ifpte/,en,coalition-members
"International Foundation for Employee Benefit Plans",https://nchc.org/coalition-members/international-foundation-employee-benefit-plans/,en,coalition-members
"Japanese American Citizens League",https://nchc.org/coalition-members/japanese-american-citizens-league/,en,coalition-members
"League of Women Voters",https://nchc.org/coalition-members/league-women-voters/,en,coalition-members
"Michigan Health &amp; Hospital Association",https://nchc.org/coalition-members/michigan-health-hospital-association/,en,coalition-members
"Midwest Business Group on Health",https://nchc.org/coalition-members/midwest-business-group-health/,en,coalition-members
"Motion Picture Association of America",https://nchc.org/coalition-members/motion-picture-association-america/,en,coalition-members
"National Association for the Advancement of Colored People (NAACP)",https://nchc.org/coalition-members/national-association-advancement-colored-people-naacp/,en,coalition-members
"National Association of Community Health Centers",https://nchc.org/coalition-members/national-association-community-health-centers/,en,coalition-members
"National Community Action Foundation",https://nchc.org/coalition-members/national-community-action-foundation/,en,coalition-members
"National Conference on Public Employee Retirement Systems",https://nchc.org/coalition-members/national-conference-public-employee-retirement-systems/,en,coalition-members
"National Consumers League",https://nchc.org/coalition-members/national-consumers-league/,en,coalition-members
"National Coordinating Committee for Multi-Employer Plans",https://nchc.org/coalition-members/national-coordinating-committee-multi-employer-plans/,en,coalition-members
"National Council of Churches of Christ in the U.S.A.",https://nchc.org/coalition-members/national-council-churches-christ-usa/,en,coalition-members
"National Council on Teacher Retirement",https://nchc.org/coalition-members/national-council-teacher-retirement/,en,coalition-members
"National Multiple Sclerosis Society",https://nchc.org/coalition-members/national-multiple-sclerosis-society/,en,coalition-members
"National Rural Health Association",https://nchc.org/coalition-members/national-rural-health-association/,en,coalition-members
"National Council of La Raza",https://nchc.org/coalition-members/nclr/,en,coalition-members
"New York State Teachers' Retirement Systems",https://nchc.org/coalition-members/new-york-state-teachers-retirement-systems/,en,coalition-members
"Presbyterian Church, U.S.A.",https://nchc.org/coalition-members/presbyterian-church-usa/,en,coalition-members
"Religious Action Center of Reform Judaism",https://nchc.org/coalition-members/religious-action-center-reform-judaism/,en,coalition-members
"The Salvation Army",https://nchc.org/coalition-members/salvation-army/,en,coalition-members
"Sheet Metal Workers' International Association",https://nchc.org/coalition-members/sheet-metal-workers-international-association/,en,coalition-members
"Small Business Majority",https://nchc.org/coalition-members/small-business-majority/,en,coalition-members
"Why The Quality of U.S. Health Care Must Be Improved",https://nchc.org/1998policystudies/why-the-quality-of-u-s-health-care-must-be-improved-2/,en,1998PolicyStudies
"Stop and Shop, Inc.",https://nchc.org/coalition-members/stop-and-shop-inc/,en,coalition-members
"Teva Pharmaceuticals, Ltd",https://nchc.org/coalition-members/teva-pharmaceuticals-ltd/,en,coalition-members
"Union for Reform Judaism",https://nchc.org/coalition-members/union-reform-judaism/,en,coalition-members
"United Food &amp; Commercial Workers",https://nchc.org/coalition-members/united-food-commercial-workers/,en,coalition-members
"United Methodist Church",https://nchc.org/coalition-members/coalition-members-united-methodist-church/,en,coalition-members
"U.S. PIRG",https://nchc.org/coalition-members/us-pirg/,en,coalition-members
"Verizon (Partnership for Health Care Reform)",https://nchc.org/coalition-members/verizon-partnership-health-care-reform/,en,coalition-members
"American Academy of Pediatrics Rallies Support for ACA and Universal Coverage",https://nchc.org/content/american-academy-pediatrics-rallies-support-aca-and-universal-coverage/,en,content
"Application for Paul G. Rogers Scholars Program",https://nchc.org/content/application-paul-g-rogers-scholars-program/,en,content
"Are Non-Profit Hospital Tax Exemptions Unfair to Taxpayers?",https://nchc.org/content/are-non-profit-hospital-tax-exemptions-unfair-taxpayers/,en,content
"Become a Member",https://nchc.org/content/become-member/,en,content
"Building a Better Health Care Market",https://nchc.org/content/building-better-health-care-market/,en,content
"Community Catalyst Supports State Health Advocates in Effective and Consumer-Focused Implementation of the ACA",https://nchc.org/content/community-catalyst-supports-state-health-advocates-effective-and-consumer-focused-implementa/,en,content
"Consumers Save on Health Insurance Premiums",https://nchc.org/content/consumers-save-health-insurance-premiums/,en,content
"The Cost-Containment Problem With Dual-Eligibles",https://nchc.org/content/cost-containment-problem-dual-eligibles/,en,content
"Debating the Impact of Health Plan Profits",https://nchc.org/content/debating-impact-health-plan-profits/,en,content
"Effective State Exchanges Key to Lower Health Costs for Consumers",https://nchc.org/content/effective-state-exchanges-key-lower-health-costs-consumers-0/,en,content
"FDA Targets Online Stores for Illegal Marketing of Tobacco Products",https://nchc.org/content/fda-targets-online-stores-illegal-marketing-tobacco-products/,en,content
"Health Care Consumes Record 17.6% of US Economy",https://nchc.org/content/health-care-consumes-record-176-us-economy/,en,content
"Health Care Cost Control Must Be System-Wide",https://nchc.org/content/health-care-cost-control-must-be-system-wide/,en,content
"Health Care Costs: The Role of Price by Paul Ginsburg",https://nchc.org/content/health-care-costs-role-price-paul-ginsburg/,en,content
"Health Care ""Failsafe"" Would Save $2 Trillion",https://nchc.org/content/health-care-failsafe-would-save-2-trillion/,en,content
"Health IT Can Help Health Care Reform",https://nchc.org/content/health-it-can-help-health-care-reform/,en,content
"HHS Gives Meaning to ""Meaningful Use""",https://nchc.org/content/hhs-gives-meaning-meaningful-use/,en,content
"Hospice Shown to Save Costs, Reduce Emotional Distress for Terminally Ill",https://nchc.org/content/hospice-shown-save-costs-reduce-emotional-distress-terminally-ill/,en,content
"How Sustainable is the Medicaid Program for States?",https://nchc.org/content/how-sustainable-medicaid-program-states/,en,content
"Massachusetts OKs Controversial Insurance Rate Increases",https://nchc.org/content/massachusetts-oks-controversial-insurance-rate-increases/,en,content
"Medicaid Coverage Doesn’t Guarantee Access",https://nchc.org/content/medicaid-coverage-doesn-t-guarantee-access/,en,content
"Members and Leaders of Faith Community Urge Congress and Administration to Move Reform Forward",https://nchc.org/content/members-and-leaders-faith-community-urge-congress-and-administration-move-reform-forward/,en,content
"More Resources From Other Organizations",https://nchc.org/content/more-resources-other-organizations/,en,content
"National Association of Community Health Centers: CHCs ""Will Continue to Grow and Reach Out to More People""",https://nchc.org/content/national-association-community-health-centers-chcs-will-continue-grow-and-reach-out-more-peo/,en,content
"New Report on Understanding U.S. Health Care Spending",https://nchc.org/content/new-report-understanding-us-health-care-spending-0/,en,content
"NPA Identifies Most Common Unnecessary Medical Services",https://nchc.org/content/npa-identifies-most-common-unnecessary-medical-services/,en,content
"Paul G. Rogers Memorial Scholars Program",https://nchc.org/content/paul-g-rogers-memorial-scholars-program/,en,content
"Projected 8.5 Percent Increase in Employer Healthcare Costs in 2012",https://nchc.org/content/projected-85-percent-increase-employer-healthcare-costs-2012/,en,content
"Public Health Advocacy Organization Opposes Health Spending Cuts",https://nchc.org/content/public-health-advocacy-organization-opposes-health-spending-cuts/,en,content
"Repeal, A Critical Step Backward on Cost Control",https://nchc.org/content/repeal-critical-step-backward-cost-control/,en,content
"Report Details Health Care Sector Profit Margins",https://nchc.org/content/report-details-health-care-sector-profit-margins/,en,content
"In Response to Public Outcry, Company Lowers Cost Increase",https://nchc.org/content/response-public-outcry-company-lowers-cost-increase/,en,content
"SBM: Health Insurance Helps Boost the Bottom Line of Small Businesses",https://nchc.org/content/sbm-health-insurance-helps-boost-bottom-line-small-businesses/,en,content
"Smoking and Obesity Dramatically Reduce Americans’ Life Expectancy",https://nchc.org/content/smoking-and-obesity-dramatically-reduce-americans-life-expectancy/,en,content
"Study reveals potential consequences of unregulated provider rate negotiations",https://nchc.org/content/study-reveals-potential-consequences-unregulated-provider-rate-negotiations/,en,content
"Working Class Americans Benefiting from the ACA",https://nchc.org/content/working-class-americans-benefiting-aca/,en,content
"A REALITY CHECK: THE PUBLIC'S CHANGING VIEWS OF OUR HEALTH CARE SYSTEM",https://nchc.org/emerge/check0498/,en,emerge
"A Reality Check: The Public's Changing View's of our Health Care System",https://nchc.org/emerge/exec0498/,en,emerge
"<strong>Key Findings on the Public's Changing Views of our Health Care System</strong>",https://nchc.org/emerge/key0498/,en,emerge
"Key Findings on Quality of Care in the United States",https://nchc.org/emerge/keyquality/,en,emerge
"<strong>Rethinking the Medicare Eligibility Age</strong><br><strong>Medicare Series Report #1</strong>",https://nchc.org/emerge/medicare0698/,en,emerge
"The Role of Medical Savings Accounts in Health System Reform",https://nchc.org/emerge/the-role-of-medical-savings-accounts-in-health-system-reform-2/,en,emerge
"Why The Quality of U.S. Health Care Must Be Improved",https://nchc.org/emerge/why-the-quality-of-u-s-health-care-must-be-improved-3/,en,emerge
"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",https://nchc.org/releases/press012600/,en,releases
"Tax Breaks Can Reduce the Number of Uninsured, But Not by Much Unless the Subsidy is Quite Large, Study Finds",https://nchc.org/releases/taxbreaks/,en,releases
"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",https://nchc.org/emerge/the-rising-number-of-uninsured-workers-an-approaching-crisis-in-health-care-financing-2/,en,emerge
"Small Business Health Insurance Co-ops Won't Solve the Nation's Uninsured Problem",https://nchc.org/releases/stevepress/,en,releases
"Déjà Vu All Over Again: Rising Health Insurance Premiums And Implications For The Public And Private Sector",https://nchc.org/releases/simmons_5_5_2000/,en,releases
"<strong>Small Employer Health Insurance Purchasing Arrangements:<br>Can They Expand Coverage?</strong>",https://nchc.org/releases/stevesedit/,en,releases
"<strong><em>1 MILLION MORE AMERICANS UNINSURED, ACCORDING TO U.S. CENSUS BUREAU</em></strong>",https://nchc.org/releases/uninsured-2/,en,releases
"<strong><em>Why Health Care Quality Must be Improved and Why Health System Reform Must Occur</em></strong>",https://nchc.org/releases/simmons_3_31_2001/,en,releases
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/addington_1-26-00/,en,releases
"Coalition Praises Families USA Study; Calls for Congress and the States to Act Quickly",https://nchc.org/releases/presscontacts/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/press012397/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-2/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-3/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-4/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-5/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-6/,en,releases
"Chicago Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/chicago-health-care-summit/,en,event
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-7/,en,releases
"A D V E R T I S M E N T",https://nchc.org/releases/press022997/,en,releases
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-2/,en,releases
"Innovations in Maternity Care",https://nchc.org/event/innovations-maternity-care/,en,event
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-3/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-8/,en,releases
"Medicaid Per Capita Allotments: Exploring Implications for Medicare Beneficiaries",https://nchc.org/event/medicaid-per-capita-allotments/,en,event
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-9/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-10/,en,releases
"New York Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/new-york-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage/,en,event
"N E W S R E L E A S E",https://nchc.org/uncategorized/n-e-w-s-r-e-l-e-a-s-e-11/,en,Uncategorized
"Philadelphia Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",https://nchc.org/event/philadelphia-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage/,en,event
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-12/,en,releases
"Health Insurance Premiums",https://nchc.org/releases/health-insurance-premiums/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-13/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-14/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-15/,en,releases
"Prevention Across the Lifespan",https://nchc.org/event/prevention-across-the-lifespan/,en,event
"Primary Care: High-Value Care for Underserved Communities",https://nchc.org/event/primary-care/,en,event
"Medical Errors Report",https://nchc.org/releases/press022200/,en,releases
"A D V E R T I S M E N T",https://nchc.org/releases/a-d-v-e-r-t-i-s-m-e-n-t-4/,en,releases
"2017 Medicare Premium Spike",https://nchc.org/events/2017-medicare-premium-spike/,en,events
"<strong><em>Medicare Reform Must Include Incentives</em></strong><br><strong><em>to Improve Quality of Care</em></strong>",https://nchc.org/releases/press021899/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-16/,en,releases
