ID,Title,Slug,_yoast_wpseo_title,_yoast_wpseo_metadesc,_yoast_wpseo_focuskw
226,"California | National Coalition on Health Care",california,"California | National Coalition on Health Care",,
227,"Allies in Action",list-page-1,"Allies in Action | National Coalition on Health Care",,
230,"Allies in Action",list-page-2,"Allies in Action | National Coalition on Health Care",,
232,"Allies in Action",list-page-3,"Allies in Action | National Coalition on Health Care",,
234,"Allies in Action",list-page-4,"Allies in Action | National Coalition on Health Care",,
236,"Allies in Action",allies-list-page-5,"Allies in Action | National Coalition on Health Care",,
253,"Wyoming | National Coalition on Health Care",wyoming,"Wyoming | National Coalition on Health Care",,
255,"Wisconsin | National Coalition on Health Care",wisconsin,"Wisconsin | National Coalition on Health Care",,
257,"West Virginia | National Coalition on Health Care",west-virginia,"West Virginia | National Coalition on Health Care",,
259,"Washington | National Coalition on Health Care",washington,"Washington | National Coalition on Health Care",,
262,"Virginia | National Coalition on Health Care",virginia,"Virginia | National Coalition on Health Care",,
266,"Vermont | National Coalition on Health Care",vermont,"Vermont | National Coalition on Health Care",,
269,"Utah | National Coalition on Health Care",utah,"Utah | National Coalition on Health Care",,
271,"Building an Affordable and Sustainable Health Care System",building-affordable-and-sustainable-health-care-system,"Building an Affordable and Sustainable Health Care System | National Coalition on Health Care",,
274,"Texas | National Coalition on Health Care",texas,"Texas | National Coalition on Health Care",,
276,"David Walker at Institute of Medicine - Rosenthal Speech",david-walker-institute-medicine-rosenthal-speech,"David Walker at Institute of Medicine - Rosenthal Speech | National Coalition on Health Care",,
277,"Tennessee | National Coalition on Health Care",tennessee,"Tennessee | National Coalition on Health Care",,
280,"South Dakota | National Coalition on Health Care",south-dakota,"South Dakota | National Coalition on Health Care",,
282,"Failsafe Drafting Options with Additional Examples",failsafe-drafting-options-additional-examples,"Failsafe Drafting Options with Additional Examples | National Coalition on Health Care",,
284,"A Failsafe Mechanism for National Healthcare Expenditures",failsafe-mechanism-national-healthcare-expenditures,"A Failsafe Mechanism for National Healthcare Expenditures | National Coalition on Health Care",,
285,"Rhode Island | National Coalition on Health Care",rhode-island,"Rhode Island | National Coalition on Health Care",,
288,"How to Ensure America Takes Its Medicine",how-ensure-america-takes-its-medicine,"How to Ensure America Takes Its Medicine | National Coalition on Health Care",,
290,"An Insurance Policy for Health Care Reform",insurance-policy-health-care-reform,"An Insurance Policy for Health Care Reform | National Coalition on Health Care",,
292,"South Carolina | National Coalition on Health Care",south-carolina,"South Carolina | National Coalition on Health Care",,
293,"Justifying System-Wide Cost Containment",justifying-system-wide-cost-containment,"Justifying System-Wide Cost Containment | National Coalition on Health Care",,
297,"National Journal Blog - CBO's Latest Score: An $81B Deficit Reduction",national-journal-blog-cbos-latest-score-81b-deficit-reduction,"National Journal Blog - CBO's Latest Score: An $81B Deficit Reduction | National Coalition on Health Care",,
298,"Pennsylvania | National Coalition on Health Care",pennsylvania,"Pennsylvania | National Coalition on Health Care",,
301,"Organizations Working on Health Reform in California | National Coalition on Health Care",organizational-resources-california,"Organizations Working on Health Reform in California | National Coalition on Health Care",,
302,"National Journal Blog - Health Insurers' 11th-Hour Outburst",national-journal-blog-health-insurers-11th-hour-outburst,"National Journal Blog - Health Insurers' 11th-Hour Outburst | National Coalition on Health Care",,
305,"Oregon | National Coalition on Health Care",oregon,"Oregon | National Coalition on Health Care",,
306,"Oklahoma | National Coalition on Health Care",oklahoma,"Oklahoma | National Coalition on Health Care",,
307,"Containing Costs and Avoiding Tax Increases While Improving<br>Quality: Affordable Coverage and High Value Care",nchc-white-paper,"Containing Costs and Avoiding Tax Increases While Improving Quality: Affordable Coverage and High Value Care | National Coalition on Health Care",,
310,"Ohio | National Coalition on Health Care",ohio,"Ohio | National Coalition on Health Care",,
311,"North Dakota | National Coalition on Health Care",north-dakota,"North Dakota | National Coalition on Health Care",,
315,"North Carolina | National Coalition on Health Care",north-carolina,"North Carolina | National Coalition on Health Care",,
317,"New York | National Coalition on Health Care",new-york,"New York | National Coalition on Health Care",,
322,"New Mexico | National Coalition on Health Care",new-mexico,"New Mexico | National Coalition on Health Care",,
323,"New Jersey | National Coalition on Health Care",new-jersey,"New Jersey | National Coalition on Health Care",,
326,"New Hampshire | National Coalition on Health Care",new-hampshire-new-hampshire-new-hampshire-new-hampshire-new-hampshire,"New Hampshire | National Coalition on Health Care",,
328,"Nevada | National Coalition on Health Care",nevada,"Nevada | National Coalition on Health Care",,
330,"Nebraska | National Coalition on Health Care",nebraska,"Nebraska | National Coalition on Health Care",,
333,"Montana | National Coalition on Health Care",montana,"Montana | National Coalition on Health Care",,
335,"Missouri | National Coalition on Health Care",missouri,"Missouri | National Coalition on Health Care",,
338,"Mississippi | National Coalition on Health Care",mississippi,"Mississippi | National Coalition on Health Care",,
339,"Minnesota | National Coalition on Health Care",minnesota,"Minnesota | National Coalition on Health Care",,
342,"Michigan | National Coalition on Health Care",michigan,"Michigan | National Coalition on Health Care",,
344,"Massachusetts | National Coalition on Health Care",massachusetts,"Massachusetts | National Coalition on Health Care",,
347,"Maryland | National Coalition on Health Care",maryland,"Maryland | National Coalition on Health Care",,
349,"Maine | National Coalition on Health Care",maine,"Maine | National Coalition on Health Care",,
351,"Louisiana | National Coalition on Health Care",louisiana,louisiana/,,
353,"Kentucky | National Coalition on Health Care",kentucky,"Kentucky | National Coalition on Health Care",,
356,"Kansas | National Coalition on Health Care",kansas,"Kansas | National Coalition on Health Care",,
359,"Iowa | National Coalition on Health Care",iowa,"Iowa | National Coalition on Health Care",,
362,"Indiana | National Coalition on Health Care",indiana,"Indiana | National Coalition on Health Care",,
363,"Illinois | National Coalition on Health Care",illinois,"Illinois | National Coalition on Health Care",,
366,"Idaho | National Coalition on Health Care",idaho,"Idaho | National Coalition on Health Care",,
367,"Health Reform Implementation Tools | National Coalition on Health Care",health-reform-implementation-tools,"Health Reform Implementation Tools | National Coalition on Health Care",,
371,"Health Reform 101 | National Coalition on Health Care",health-reform-101,"Health Reform 101 | National Coalition on Health Care",,
372,"Hawaii | National Coalition on Health Care",hawaii,"Hawaii | National Coalition on Health Care",,
376,"Georgia | National Coalition on Health Care",georgia,"Georgia | National Coalition on Health Care",,
377,"Delaware | National Coalition on Health Care",delaware,"Delaware | National Coalition on Health Care",,
380,"Florida | National Coalition on Health Care",florida,"Florida | National Coalition on Health Care",,
393,"Connecticut | National Coalition on Health Care",connecticut,"Connecticut | National Coalition on Health Care",,
397,"Colorado | National Coalition on Health Care",colorado,"Colorado | National Coalition on Health Care",,
398,"The California State Profile | National Coalition on Health Care",california-state-profile,"The California State Profile | National Coalition on Health Care",,
402,"California | National Coalition on Health Care",california-2,,,
405,"Arkansas | National Coalition on Health Care",arkansas,"Arkansas | National Coalition on Health Care",,
406,"Arizona | National Coalition on Health Care",arizona,"Arizona | National Coalition on Health Care",,
410,"Alaska | National Coalition on Health Care",alaska,"Alaska | National Coalition on Health Care",,
413,"Alabama | National Coalition on Health Care",alabama,"Alabama | National Coalition on Health Care",,
415,"Acknowledgement and Introduction | National Coalition on Health Care",acknowledgement-and-introduction,"Acknowledgement and Introduction | National Coalition on Health Care",,
417,"VALINDA RUTLEDGE",valinda-rutledge,"VALINDA RUTLEDGE",,
419,"SUSAN TURNEY",susan-turney,"SUSAN TURNEY",,
426,"PETER BEGANS",peter-begans,"PETER BEGANS",,
430,"MICHAEL MACCOBY",michael-maccoby,"MICHAEL MACCOBY",,
432,"MELISSA SCHULMAN",melissa-schulman,"MELISSA SCHULMAN",,
434,"MARGARET E. O’KANE",margaret-e-okane,"MARGARET E. O’KANE",,
437,"KEVIN DONNELLAN",kevin-donnellan,"KEVIN DONNELLAN",,
439,"JACK LEWIN",jack-lewin-2,"JACK LEWIN",,
441,"THE HONORABLE DAVID DURENBERGER",the-honorable-david-durenberger,"THE HONORABLE DAVID DURENBERGER",,
443,"DON CRANE",don-crane,"DON CRANE",,
445,"DONALD MOULDS",donald-moulds,"DONALD MOULDS",,
448,"DAVID DOBBINS",david-dobbins,"DAVID DOBBINS",,
450,"DAMON A. SILVERS",damon-a-silvers,"DAMON A. SILVERS",,
452,"CHRISTINE SIMMON",christine-simmon,"CHRISTINE SIMMON",,
454,"CHRIS DAWE",chris-dawe,"CHRIS DAWE",,
456,"BLAIR CHILDS",blair-childs,"BLAIR CHILDS",,
458,"ADRIENNE MORRELL",adrienne-morrell-2,"ADRIENNE MORRELL",,
484,AARP,aarp,"AARP | National Coalition on Health Care",,
486,"Adrian Dominican Sisters",adrian-dominican-sisters,"Adrian Dominican Sisters | National Coalition on Health Care",,
488,AFL-CIO,afl-cio,"AFL-CIO | National Coalition on Health Care",,
490,"American Academy of Family Physicians",american-academy-family-physicians,"American Academy of Family Physicians | National Coalition on Health Care",,
492,"American Academy of Pediatrics",american-academy-pediatrics,"American Academy of Pediatrics | National Coalition on Health Care",,
494,"American Cancer Society",american-cancer-society,"American Cancer Society | National Coalition on Health Care",,
497,"American College of Cardiology",american-college-cardiology,"American College of Cardiology | National Coalition on Health Care",,
500,"American College of Emergency Physicians",american-college-emergency-physicians,"American College of Emergency Physicians | National Coalition on Health Care",,
502,"American College of Nurse-Midwives",american-college-nurse-midwives,"American College of Nurse-Midwives | National Coalition on Health Care",,
504,"American College of Surgeons",american-college-surgeons,"American College of Surgeons | National Coalition on Health Care",,
506,"American Dental Education Association",american-dental-education-association,"American Dental Education Association | National Coalition on Health Care",,
508,"American Federation of State, County, and Municipal Employees (AFSCME)",american-federation-state-county-and-municipal-employees-afscme,"American Federation of State, County, and Municipal Employees (AFSCME) | National Coalition on Health Care",,
511,"American Federation of Teachers",american-federation-teachers,"American Federation of Teachers | National Coalition on Health Care",,
513,"American Federation of Television and Radio Artists",american-federation-television-and-radio-artists,"American Federation of Television and Radio Artists | National Coalition on Health Care",,
515,"American Heart Association",american-heart-association,"American Heart Association | National Coalition on Health Care",,
517,"American Legacy Foundation",american-legacy-foundation,"American Legacy Foundation | National Coalition on Health Care",,
521,"American Library Association",american-library-association,"American Library Association | National Coalition on Health Care",,"American Library Association | National Coalition on Health Care"
523,"American Lung Association",american-lung-association,"American Lung Association | National Coalition on Health Care",,
525,"Asian Pacific Islander American Health Forum",asian-pacific-islander-american-health-forum,"Asian Pacific Islander American Health Forum | National Coalition on Health Care",,
527,"Association of American Medical Colleges and Teaching Hospitals",association-american-medical-colleges-and-teaching-hospitals,"Association of American Medical Colleges and Teaching Hospitals | National Coalition on Health Care",,
529,"Association of American Universities",association-american-universities,"Association of American Universities | National Coalition on Health Care",,
531,"California Public Employees' Retirement Systems (CalPERS)",california-public-employees-retirement-systems-calpers,"California Public Employees' Retirement Systems (CalPERS) | National Coalition on Health Care",,
533,"California State Teachers' Retirement System (CalSTRS)",california-state-teachers-retirement-system-calstrs,"California State Teachers' Retirement System (CalSTRS) | National Coalition on Health Care",,
535,C-Change,c-change,"C-Change | National Coalition on Health Care",,
537,"Childbirth Connection",childbirth-connection,"Childbirth Connection | National Coalition on Health Care",,
539,"Children's Defense Fund",childrens-defense-fund,"Children's Defense Fund | National Coalition on Health Care",,
541,CodeBlueNow!,codebluenow,"CodeBlueNow! | National Coalition on Health Care",,
543,"Colorado Public Employee Retirement Association",colorado-public-employee-retirement-association,"Colorado Public Employee Retirement Association | National Coalition on Health Care",,
545,"Common Cause",common-cause,"Common Cause | National Coalition on Health Care",,
548,"Communication Workers of America (Partnership for Health Care Reform)",communication-workers-america-partnership-health-care-reform,"Communication Workers of America (Partnership for Health Care Reform) | National Coalition on Health Care",,
550,"Consortium for Citizens with Disabilities",consortium-citizens-disabilities,"Consortium for Citizens with Disabilities | National Coalition on Health Care",,
552,"Consumers Union",consumers-union,"Consumers Union | National Coalition on Health Care",,
554,"Duke Energy Corporation",duke-energy-corporation,"Duke Energy Corporation | National Coalition on Health Care",,
556,"Duke University Medical Center",duke-university-medical-center,"Duke University Medical Center | National Coalition on Health Care",,
558,"Easter Seals",easter-seals,"Easter Seals | National Coalition on Health Care",,
560,"The Episcopal Church",episcopal-church,"The Episcopal Church | National Coalition on Health Care",,
562,"Evangelical Lutheran Church in America",evangelical-lutheran-church-america,"Evangelical Lutheran Church in America | National Coalition on Health Care",,
564,"Giant Food, Inc.",giant-food-inc,"Giant Food, Inc. | National Coalition on Health Care",,
566,"Gross Electric, Inc.",gross-electric-inc,"Gross Electric, Inc. | National Coalition on Health Care",,
568,"Illinois Municipal Retirement Fund",illinois-municipal-retirement-fund,"Illinois Municipal Retirement Fund | National Coalition on Health Care",,
570,"International Brotherhood of Electrical Workers (IBEW)",international-brotherhood-electrical-workers-ibew,"International Brotherhood of Electrical Workers (IBEW) | National Coalition on Health Care",,
572,"International Brotherhood of Teamsters",international-brotherhood-teamsters,"International Brotherhood of Teamsters | National Coalition on Health Care",,
574,"International Federation of Professional and Technical Engineers (IFPTE)",international-federation-professional-and-technical-engineers-ifpte,"International Federation of Professional and Technical Engineers (IFPTE) | National Coalition on Health Care",,
576,"International Foundation for Employee Benefit Plans",international-foundation-employee-benefit-plans,"International Foundation for Employee Benefit Plans | National Coalition on Health Care",,
578,"Japanese American Citizens League",japanese-american-citizens-league,"Japanese American Citizens League | National Coalition on Health Care",,
580,"League of Women Voters",league-women-voters,"League of Women Voters | National Coalition on Health Care",,
582,"Michigan Health &amp; Hospital Association",michigan-health-hospital-association,"Michigan Health & Hospital Association | National Coalition on Health Care",,
584,"Midwest Business Group on Health",midwest-business-group-health,"Midwest Business Group on Health | National Coalition on Health Care",,
586,"Motion Picture Association of America",motion-picture-association-america,"Motion Picture Association of America | National Coalition on Health Care",,
588,"National Association for the Advancement of Colored People (NAACP)",national-association-advancement-colored-people-naacp,"National Association for the Advancement of Colored People (NAACP) | National Coalition on Health Care",,
590,"National Association of Community Health Centers",national-association-community-health-centers,"National Association of Community Health Centers | National Coalition on Health Care",,
592,"National Community Action Foundation",national-community-action-foundation,"National Community Action Foundation | National Coalition on Health Care",,
594,"National Conference on Public Employee Retirement Systems",national-conference-public-employee-retirement-systems,"National Conference on Public Employee Retirement Systems | National Coalition on Health Care",,
596,"National Consumers League",national-consumers-league,"National Consumers League | National Coalition on Health Care",,
598,"National Coordinating Committee for Multi-Employer Plans",national-coordinating-committee-multi-employer-plans,"National Coordinating Committee for Multi-Employer Plans | National Coalition on Health Care",,
600,"National Council of Churches of Christ in the U.S.A.",national-council-churches-christ-usa,"National Council of Churches of Christ in the U.S.A. | National Coalition on Health Care",,
602,"National Council on Teacher Retirement",national-council-teacher-retirement,"National Council on Teacher Retirement | National Coalition on Health Care",,
604,"National Multiple Sclerosis Society",national-multiple-sclerosis-society,"National Multiple Sclerosis Society | National Coalition on Health Care",,
606,"National Rural Health Association",national-rural-health-association,"National Rural Health Association | National Coalition on Health Care",,
608,"National Council of La Raza",nclr,"National Council of La Raza | National Coalition on Health Care",,
610,"New York State Teachers' Retirement Systems",new-york-state-teachers-retirement-systems,"New York State Teachers' Retirement Systems | National Coalition on Health Care",,
612,"Presbyterian Church, U.S.A.",presbyterian-church-usa,"Presbyterian Church, U.S.A. | National Coalition on Health Care",,
614,"Religious Action Center of Reform Judaism",religious-action-center-reform-judaism,"Religious Action Center of Reform Judaism | National Coalition on Health Care",,
616,"The Salvation Army",salvation-army,"The Salvation Army | National Coalition on Health Care",,
618,"Sheet Metal Workers' International Association",sheet-metal-workers-international-association,"Sheet Metal Workers' International Association | National Coalition on Health Care",,
620,"Small Business Majority",small-business-majority,"Small Business Majority | National Coalition on Health Care",,
622,"Why The Quality of U.S. Health Care Must Be Improved",whyqualityimproved,"National Coalition On Health Care",,
624,"Stop and Shop, Inc.",stop-and-shop-inc,"Stop and Shop, Inc. | National Coalition on Health Care",,
626,"Teva Pharmaceuticals, Ltd",teva-pharmaceuticals-ltd,"Teva Pharmaceuticals, Ltd | National Coalition on Health Care",,
628,"Union for Reform Judaism",union-reform-judaism,"Union for Reform Judaism | National Coalition on Health Care",,
630,"United Food &amp; Commercial Workers",united-food-commercial-workers,"United Food & Commercial Workers | National Coalition on Health Care",,
632,"United Methodist Church",coalition-members-united-methodist-church,"United Methodist Church | National Coalition on Health Care",,
634,"U.S. PIRG",us-pirg,"U.S. PIRG | National Coalition on Health Care",,
636,"Verizon (Partnership for Health Care Reform)",verizon-partnership-health-care-reform,"Verizon (Partnership for Health Care Reform) | National Coalition on Health Care",,
650,"American Academy of Pediatrics Rallies Support for ACA and Universal Coverage",american-academy-pediatrics-rallies-support-aca-and-universal-coverage,"American Academy of Pediatrics Rallies Support for ACA and Universal Coverage | National Coalition on Health Care",,
652,"Application for Paul G. Rogers Scholars Program",application-paul-g-rogers-scholars-program,"Application for Paul G. Rogers Scholars Program | National Coalition on Health Care",,
654,"Are Non-Profit Hospital Tax Exemptions Unfair to Taxpayers?",are-non-profit-hospital-tax-exemptions-unfair-taxpayers,"Are Non-Profit Hospital Tax Exemptions Unfair to Taxpayers? | National Coalition on Health Care",,
656,"Become a Member",become-member,"Become a Member | National Coalition on Health Care",,
658,"Building a Better Health Care Market",building-better-health-care-market,"Building a Better Health Care Market | National Coalition on Health Care",,
660,"Community Catalyst Supports State Health Advocates in Effective and Consumer-Focused Implementation of the ACA",community-catalyst-supports-state-health-advocates-effective-and-consumer-focused-implementa,"Community Catalyst Supports State Health Advocates in Effective and Consumer-Focused Implementation of the ACA | National Coalition on Health Care",,
662,"Consumers Save on Health Insurance Premiums",consumers-save-health-insurance-premiums,"Consumers Save on Health Insurance Premiums | National Coalition on Health Care",,
664,"The Cost-Containment Problem With Dual-Eligibles",cost-containment-problem-dual-eligibles,"The Cost-Containment Problem With Dual-Eligibles | National Coalition on Health Care",,
666,"Debating the Impact of Health Plan Profits",debating-impact-health-plan-profits,"Debating the Impact of Health Plan Profits | National Coalition on Health Care",,
668,"Effective State Exchanges Key to Lower Health Costs for Consumers",effective-state-exchanges-key-lower-health-costs-consumers-0,"Effective State Exchanges Key to Lower Health Costs for Consumers | National Coalition on Health Care",,
670,"FDA Targets Online Stores for Illegal Marketing of Tobacco Products",fda-targets-online-stores-illegal-marketing-tobacco-products,"FDA Targets Online Stores for Illegal Marketing of Tobacco Products | National Coalition on Health Care",,
672,"Health Care Consumes Record 17.6% of US Economy",health-care-consumes-record-176-us-economy,"Health Care Consumes Record 17.6% of US Economy | National Coalition on Health Care",,
674,"Health Care Cost Control Must Be System-Wide",health-care-cost-control-must-be-system-wide,"Health Care Cost Control Must Be System-Wide | National Coalition on Health Care",,
676,"Health Care Costs: The Role of Price by Paul Ginsburg",health-care-costs-role-price-paul-ginsburg,"Health Care Costs: The Role of Price by Paul Ginsburg | National Coalition on Health Care",,
678,"Health Care ""Failsafe"" Would Save $2 Trillion",health-care-failsafe-would-save-2-trillion,"Health Care &quot;Failsafe&quot; Would Save $2 Trillion | National Coalition on Health Care",,
680,"Health IT Can Help Health Care Reform",health-it-can-help-health-care-reform,"Health IT Can Help Health Care Reform | National Coalition on Health Care",,
682,"HHS Gives Meaning to ""Meaningful Use""",hhs-gives-meaning-meaningful-use,"HHS Gives Meaning to &quot;Meaningful Use&quot; | National Coalition on Health Care",,
684,"Hospice Shown to Save Costs, Reduce Emotional Distress for Terminally Ill",hospice-shown-save-costs-reduce-emotional-distress-terminally-ill,"Hospice Shown to Save Costs, Reduce Emotional Distress for Terminally Ill | National Coalition on Health Care",,
686,"How Sustainable is the Medicaid Program for States?",how-sustainable-medicaid-program-states,"How Sustainable is the Medicaid Program for States? | National Coalition on Health Care",,
688,"Massachusetts OKs Controversial Insurance Rate Increases",massachusetts-oks-controversial-insurance-rate-increases,"Massachusetts OKs Controversial Insurance Rate Increases | National Coalition on Health Care",,
690,"Medicaid Coverage Doesn’t Guarantee Access",medicaid-coverage-doesn-t-guarantee-access,"Medicaid Coverage Doesn’t Guarantee Access | National Coalition on Health Care",,
692,"Members and Leaders of Faith Community Urge Congress and Administration to Move Reform Forward",members-and-leaders-faith-community-urge-congress-and-administration-move-reform-forward,"Members and Leaders of Faith Community Urge Congress and Administration to Move Reform Forward | National Coalition on Health Care",,
694,"More Resources From Other Organizations",more-resources-other-organizations,"More Resources From Other Organizations | National Coalition on Health Care",,
696,"National Association of Community Health Centers: CHCs ""Will Continue to Grow and Reach Out to More People""",national-association-community-health-centers-chcs-will-continue-grow-and-reach-out-more-peo,"National Association of Community Health Centers: CHCs &quot;Will Continue to Grow and Reach Out to More People&quot; | National Coalition on Health Care",,
698,"New Report on Understanding U.S. Health Care Spending",new-report-understanding-us-health-care-spending-0,"New Report on Understanding U.S. Health Care Spending | National Coalition on Health Care",,
703,"NPA Identifies Most Common Unnecessary Medical Services",npa-identifies-most-common-unnecessary-medical-services,"NPA Identifies Most Common Unnecessary Medical Services | National Coalition on Health Care",,
705,"Paul G. Rogers Memorial Scholars Program",paul-g-rogers-memorial-scholars-program,"Paul G. Rogers Memorial Scholars Program | National Coalition on Health Care",,
707,"Projected 8.5 Percent Increase in Employer Healthcare Costs in 2012",projected-85-percent-increase-employer-healthcare-costs-2012,"Projected 8.5 Percent Increase in Employer Healthcare Costs in 2012 | National Coalition on Health Care",,
709,"Public Health Advocacy Organization Opposes Health Spending Cuts",public-health-advocacy-organization-opposes-health-spending-cuts,"Public Health Advocacy Organization Opposes Health Spending Cuts | National Coalition on Health Care",,
711,"Repeal, A Critical Step Backward on Cost Control",repeal-critical-step-backward-cost-control,"Repeal, A Critical Step Backward on Cost Control | National Coalition on Health Care",,
713,"Report Details Health Care Sector Profit Margins",report-details-health-care-sector-profit-margins,"Report Details Health Care Sector Profit Margins | National Coalition on Health Care",,
715,"In Response to Public Outcry, Company Lowers Cost Increase",response-public-outcry-company-lowers-cost-increase,"In Response to Public Outcry, Company Lowers Cost Increase | National Coalition on Health Care",,
717,"SBM: Health Insurance Helps Boost the Bottom Line of Small Businesses",sbm-health-insurance-helps-boost-bottom-line-small-businesses,"SBM: Health Insurance Helps Boost the Bottom Line of Small Businesses | National Coalition on Health Care",,
719,"Smoking and Obesity Dramatically Reduce Americans’ Life Expectancy",smoking-and-obesity-dramatically-reduce-americans-life-expectancy,"Smoking and Obesity Dramatically Reduce Americans’ Life Expectancy | National Coalition on Health Care",,
721,"Study reveals potential consequences of unregulated provider rate negotiations",study-reveals-potential-consequences-unregulated-provider-rate-negotiations,"Study reveals potential consequences of unregulated provider rate negotiations | National Coalition on Health Care",,
723,"Working Class Americans Benefiting from the ACA",working-class-americans-benefiting-aca,"Working Class Americans Benefiting from the ACA | National Coalition on Health Care",,
758,"A REALITY CHECK: THE PUBLIC'S CHANGING VIEWS OF OUR HEALTH CARE SYSTEM",check0498,"National Coalition On Health Care",,
763,"A Reality Check: The Public's Changing View's of our Health Care System",exec0498,"National Coalition On Health Care",,
766,"<strong>Key Findings on the Public's Changing Views of our Health Care System</strong>",key0498,"National Coalition On Health Care",,
768,"Key Findings on Quality of Care in the United States",keyquality,"National Coalition On Health Care",,
772,"<strong>Rethinking the Medicare Eligibility Age</strong><br><strong>Medicare Series Report #1</strong>",medicare0698,"NationalCoalition On Health Care",,
781,"The Role of Medical Savings Accounts in Health System Reform",medicare2-0698,"NationalCoalition On Health Care",,
783,"Why The Quality of U.S. Health Care Must Be Improved",quality,"National Coalition On Health Care",,
788,"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",universal_health_care_release_1-26-00,"PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE",,
792,"Tax Breaks Can Reduce the Number of Uninsured, But Not by Much Unless the Subsidy is Quite Large, Study Finds",taxbreaks,"Tax Breaks Can Reduce the Number of Uninsured,But Not by Much Unless the Subsidy is Quite Large, Study Finds",,
794,"The Rising Number of Uninsured Workers: An Approaching Crisis In Health Care Financing",uninsured,"National Coalition On Health Care",,
797,"Small Business Health Insurance Co-ops Won't Solve the Nation's Uninsured Problem",stevepress,"Small Business Health Insurance Co-ops Won'tSolve the Nation's Uninsured Problem",,
802,"Déjà Vu All Over Again: Rising Health Insurance Premiums And Implications For The Public And Private Sector",simmons_5_5_2000,"Déjà Vu All Over Again: Rising Health Insurance Premiums And Implications For The Public And Private Sector",,
804,"<strong>Small Employer Health Insurance Purchasing Arrangements:<br>Can They Expand Coverage?</strong>",stevesedit,"Small Employer Health Insurance Purchasing Arrangements:Can They Expand Coverage?",,
806,"<strong><em>1 MILLION MORE AMERICANS UNINSURED, ACCORDING TO U.S. CENSUS BUREAU</em></strong>",uninsured-2,"1 MILLION MORE AMERICANS UNINSURED, ACCORDING TO U.S. CENSUS BUREAU",,
808,"<strong><em>Why Health Care Quality Must be Improved and Why Health System Reform Must Occur</em></strong>",simmons_3_31_2001,,,
811,"<strong>Universal Coverage - A Call for Action</strong>",simmons_3_31_2001-2,"Universal Coverage - A Call for Action",,
813,"Coalition Praises Families USA Study; Calls for Congress and the States to Act Quickly",presscontacts,"Coalition Praises Families USA Study; Calls for Congress and the States to Act Quickly",,
817,"N E W S R E L E A S E",press120695,"N E W S R E L E A S E",,
823,"N E W S R E L E A S E",press111997,"N E W S R E L E A S E",,
824,"N E W S R E L E A S E",press111897,"N E W S R E L E A S E",,
831,"N E W S R E L E A S E",press102097b,"N E W S R E L E A S E",,
832,"N E W S R E L E A S E",press102097c,"N E W S R E L E A S E",,
835,"N E W S R E L E A S E",press102097a,"N E W S R E L E A S E",,
836,"Chicago Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",chicago-health-care-summit,"Chicago Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",,
842,"N E W S R E L E A S E",press100996,"N E W S R E L E A S E",,
845,"A D V E R T I S M E N T",press092397,"A D V E R T I S M E N T",,
846,"A D V E R T I S M E N T",press0923a97,"A D V E R T I S M E N T",,
